Complexity,Loss,Equation
1,6.126166e-10,"4.0561772e-5"
4,5.7607136e-10,"log(input0) * 7.5565263e-6"
5,5.7368393e-10,"(input0 * 2.1167725e-8) + 3.3416352e-5"
6,5.691284e-10,"(log(input0) * 5.439182e-6) + 1.1788089e-5"
8,5.6565774e-10,"((javautilconcurrentCopyOnWriteArrayListgetint + log(input0)) * 5.439182e-6) + 1.1788089e-5"
13,5.6267146e-10,"exp(cos(((javautilconcurrentCopyOnWriteArrayListgetint + -0.19154748) * input0) * -0.015431748) * -0.27760342) * 4.396436e-5"
16,5.613838e-10,"exp(cos(((input0 * exp(javautilconcurrentCopyOnWriteArrayListgetint)) * 0.0035344916) * cos(sin(javautilArrayListgetint))) * -0.27147406) * 4.391618e-5"
18,5.595808e-10,"exp(cos((cos(sin(javautilArrayListgetint)) * ((input0 + 36.886288) * -0.0034595286)) * exp(javautilconcurrentCopyOnWriteArrayList)) * -0.28749338) * 4.297368e-5"
19,5.591611e-10,"exp(cos((cos(sin(javautilArrayList)) * cos(exp(javautilconcurrentCopyOnWriteArrayListgetint) * 1.3131273)) * (input0 * 0.013870198)) * -0.2873448) * 4.353976e-5"
20,5.5901445e-10,"exp(cos(((cos(exp(sin(javautilconcurrentCopyOnWriteArrayListgetint)) * 1.3131273) * input0) * cos(sin(javautilArrayList))) * 0.013870198) * -0.2873448) * 4.353976e-5"
21,5.587606e-10,"exp(cos((cos(cos(exp(javautilArrayListgetint))) * -0.015390554) * (input0 * cos(exp(sin(javautilconcurrentCopyOnWriteArrayList)) * 1.3131273))) * -0.29587805) * 4.35555e-5"
22,5.5840493e-10,"exp(cos(cos(sin(sin(javautilArrayList))) * ((input0 + 23.127153) * (cos(exp(javautilconcurrentCopyOnWriteArrayList) * 1.3131273) * 0.013114409))) * -0.3003746) * 4.29755e-5"
23,5.5839955e-10,"exp(cos(cos(sin(javautilArrayList * -0.83905625)) * (cos(exp(javautilconcurrentCopyOnWriteArrayList) * 1.3131273) * ((input0 + 23.127153) * 0.013114409))) * -0.3003746) * 4.2898173e-5"
24,5.5807436e-10,"exp(cos((cos(exp(javautilconcurrentCopyOnWriteArrayListgetint) * -1.3210181) * (cos(sin(javautilArrayList * exp(sin(cos(input0))))) * input0)) * -0.013638171) * -0.3003746) * 4.3877168e-5"
26,5.580684e-10,"exp(cos(cos(exp(javautilconcurrentCopyOnWriteArrayListgetint) * -1.3210181) * ((cos(sin(javautilArrayList * exp(sin(cos(input0 + 0.013114409))))) * input0) * -0.013638171)) * -0.3003746) * 4.3877168e-5"
27,5.57505e-10,"sin(exp(-0.3003746 * cos((input0 + 23.127153) * ((cos(javautilArrayList * sin(exp(sin(cos(input0))))) * cos(exp(javautilconcurrentCopyOnWriteArrayList) * 1.3131273)) * 0.013114409))) * 4.29755e-5)"
28,5.5749605e-10,"exp(cos(((cos(javautilArrayList * sin(exp(sin(cos(input0 + 0.028403588))))) * (input0 + 23.127153)) * cos(exp(javautilconcurrentCopyOnWriteArrayList) * 1.3131273)) * 0.013114409) * -0.3003746) * 4.29755e-5"
