Complexity,Loss,Equation
1,2.512995e-8,"0.00038882473"
4,2.0249624e-8,"cos(javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection) * 0.0004348179"
5,1.8045336e-8,"(input0 * 2.4153704e-7) + 0.00029699365"
7,1.709223e-8,"cos(exp(input0 * -0.0019780532)) * 0.00048384067"
8,1.6782636e-8,"sin(exp(exp(input0 * -0.0010337823))) * 0.0004800958"
9,1.4268541e-8,"cos(exp((input0 * -2.802653e-5) * input1)) * 0.00045219087"
11,1.4081206e-8,"0.00044426773 * cos(exp(input0 * (input1 * -2.0748144e-5)) * 1.0825329)"
12,1.195471e-8,"cos(exp(input0 * -0.011064573) + exp(input1 * -0.0074089244)) * 0.0004751725"
17,1.07345155e-8,"cos(exp((((input0 * -0.0030814717) + 0.52501637) + (input1 * -0.0023025235)) * (javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.26002008))) * 0.0005520696"
18,1.0630131e-8,"cos(exp((javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.20057368) * (((input0 * -0.0030336007) + cos(javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection)) + (input1 * -0.002414024)))) * 0.0006074635"
20,1.0516823e-8,"cos(exp(((input1 * -0.0022767733) + (0.52501637 + ((input0 * cos(javautilVectorretainAlljavautilCollection)) * -0.00321026))) * (0.26002008 + javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection))) * 0.0005601297"
21,1.0360835e-8,"cos(exp((javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.18607497) * (((input0 * -0.0032096412) + ((input1 * -0.002275527) + 0.53273803)) * (javautilLinkedList + 1.0464097)))) * 0.00056139875"
22,1.03455395e-8,"cos(exp(((javautilLinkedList + CyclomaticComplexity) * (javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.20603113)) * (cos(CyclomaticComplexity) + ((input0 * -0.0032011855) + (input1 * -0.0023177727))))) * 0.0005525317"
24,1.0341928e-8,"cos(exp(((javautilLinkedList + CyclomaticComplexity) * (javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.20603113)) * (((input0 * -0.0032011855) + cos(CyclomaticComplexity)) + ((input1 * -0.0023177727) + -0.0049425703)))) * 0.0005525317"
26,1.0340743e-8,"cos(exp((javautilLinkedList + CyclomaticComplexity) * ((javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.2069768) * ((input0 * -0.0032028996) + (cos(CyclomaticComplexity) + (((input1 * -0.0017329718) + -0.004382038) * 1.3391503)))))) * 0.00055404904"
27,1.0335784e-8,"cos(exp((javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection + 0.20603113) * (((((input0 * -0.0032094433) + (javautilconcurrentCopyOnWriteArrayListretainAlljavautilCollection * -0.0032011892)) + (AssignmentsDepth0 + 0.539369)) + (input1 * -0.0023286492)) * (javautilLinkedList + CyclomaticComplexity)))) * 0.0005546414"
