Complexity,Loss,Equation
1,3.1915781e-9,"4.6928482e-5"
3,1.3507054e-9,"input0 * 1.1167953e-5"
5,7.476419e-10,"(input0 * input0) * 1.5819533e-6"
7,6.508862e-10,"input0 * (input0 * (input0 * 1.9209185e-7))"
9,6.457166e-10,"(input0 * 1.7818553e-7) * ((input0 * input0) + 5.4003377)"
11,6.067411e-10,"((input0 * input0) * ((input0 * -1.0000004) + input0)) * -0.6084325"
12,5.7170363e-10,"input0 * (((cos(input0 * -3.1363716) + input0) * 1.9796647e-7) * input0)"
14,5.602097e-10,"(input0 * (input0 + cos((input0 * -3.521024) * input0))) * (input0 * 1.9683124e-7)"
17,5.517631e-10,"input0 * (((sin((input0 + 1.4950342) * sin(input0)) * 2.545469) + input0) * (input0 * 2.2915792e-7))"
19,5.45367e-10,"input0 * (((sin((sin(input0) + 0.2441098) * -2.934517) * 3.091643e-7) + (input0 * (ReassignmentsDepth0 + 2.043187e-7))) * input0)"
21,5.427287e-10,"sin(input0 * (input0 * ((input0 + (AssignmentsDepth0 + (sin(sin((sin(input0) * -2.7775462) + -0.73002344)) * 1.9501675))) * 2.053078e-7)))"
23,5.427239e-10,"sin(AssignmentsDepth0 + (input0 * (2.053078e-7 * input0))) * (input0 + (sin(sin(((sin(input0) + 0.2544991) * -2.7775462) + -0.08934367)) * 1.9501675))"
24,5.378911e-10,"((cos(exp(sin(input0) + 0.6084142)) + input0) * (input0 + 1.0501839)) * ((input0 + sin((input0 + 1.4294653) * sin(input0))) * 1.9090345e-7)"
27,5.3777205e-10,"((input0 + 1.2521067) * 1.8635967e-7) * ((sin((input0 + 1.2280515) * log(input0)) + input0) * (input0 + (sin(sin(input0) * (input0 + 1.4294653)) * 1.5163018)))"
28,5.357783e-10,"(((sin(sin(input0) * (input0 + 1.4366353)) + input0) * ((input0 + 1.2719605) * (sin(exp((sin(input0) * 0.64363307) + 1.2281508)) + input0))) * 1.900417e-7) + -2.1762844e-6"
