Complexity,Loss,Equation
1,260.69785,"input0"
3,199.78076,"input0 + -7.804415"
4,13.729602,"exp(input0 + -21.550106)"
6,1.5746069,"exp((input0 + -19.572985) * 0.6816647)"
8,1.5682975,"-0.08422307 + exp((input0 + -19.57301) * 0.68179387)"
10,1.5674825,"exp(((input0 + -18.22631) * 0.6801337) + -0.9062661) + -0.086197235"
11,1.4664186,"exp(((sin(input0) * -0.11190687) + -15.39859) + (input0 * 0.7642053))"
13,1.0457857,"exp(((exp(exp(sin(input0)) * -12.053106) + 0.73056394) * input0) + -14.609201)"
15,0.99920505,"exp(((exp(exp(sin(input0 + -0.15600258)) * -12.541733) + 0.72818434) * input0) + -14.550902)"
16,0.99920464,"exp((input0 * (sin(exp(exp(sin(input0 + -0.15600258)) * -12.541733)) + 0.72818434)) + -14.550902)"
17,0.9976569,"exp(-14.550902 + ((exp(exp(sin(input0 + -0.15600254)) * -12.541733) + 0.7282301) * input0)) + -0.042280857"
20,0.99764866,"exp((-14.550902 + LiteralCountDepth0) + (input0 * (sin(exp(-12.541733 * exp(sin(input0 + -0.15600254)))) + 0.7282301))) + -0.046105668"
22,0.9920191,"exp((exp(exp(sin(input0 + -0.1968683) * 2.291832) * -14.435607) + (((sin(CyclomaticComplexity) * input0) + -13.465742) * 0.8749973)) + -2.9769363)"
24,0.99201906,"exp(((((sin(CyclomaticComplexity) * input0) + -13.465742) * 0.8749973) + (exp(exp(sin(input0 + -0.1968683) * 2.291832) * -14.435607) + -3.1443164)) + 0.16738005)"
25,0.9918652,"exp((((input0 * sin(int)) + -13.451095) * 0.87983227) + (exp(exp((sin(input0) + -0.648031) + sin(input0 + -0.4124546)) * -19.588394) + -3.0300682))"
27,0.9918027,"exp(-2.9723346 + ((exp(-14.436438 * (exp(sin(sin(input0 + -0.24678168) + -0.0998509) * 2.2750154) + -0.03950264)) + (-13.554575 + (input0 * sin(MethodInvocationsDepth0)))) * 0.88375396))"
29,0.9917785,"exp(((((sin(MethodInvocationsDepth0) * input0) + exp((exp(CyclomaticComplexity * (sin(sin(input0 + -0.24880834) + -0.09010311) * 2.2742789)) + -0.04007355) * -14.436747)) + -13.556862) * 0.8816005) + -2.9527016)"
