Complexity,Loss,Equation
1,724.51074,"17.776625"
3,598.43585,"input1 + -3.38016"
4,44.236095,"exp(input1 + -21.403036)"
6,3.4379315,"exp((input1 + -19.104202) * 0.6537422)"
8,3.2413893,"exp((input1 + -18.933329) * 0.63862306) + -0.7237707"
10,3.2241766,"exp((input1 + -19.214947) * 0.6652504) + sin(exp(input1))"
11,2.8007257,"exp((sin(input1) * -0.12515384) + ((input1 + -19.771095) * 0.73778015))"
12,2.5464041,"exp((input1 + -19.108002) * 0.6545348) + sin(exp(0.5795422 + input1))"
16,2.4603412,"(sin(exp(input1)) + exp((input1 + -19.214878) * 0.66571605)) + sin(exp(input1 + CyclomaticComplexity))"
17,2.459185,"(sin(exp(input1 + cos(BinaryOperatorsDepth0))) + exp((input1 + -19.21489) * 0.6658346)) + sin(exp(input1))"
18,2.3645306,"((sin(exp(input1 + CyclomaticComplexity)) + exp(0.6545348 * (-19.090279 + input1))) + sin(exp(input1))) + -0.4907573"
20,2.1667109,"(sin(((input1 * 0.57224715) + CyclomaticComplexity) * input1) + exp((input1 + -19.200623) * 0.6662066)) + sin(input1 * -1.518104)"
22,2.107376,"exp((input1 + -19.13148) * 0.65873903) + (sin(((input1 + -19.034124) * 0.54151106) * input1) + sin((input1 + 0.6578553) * 1.6081235))"
25,2.0593786,"sin((input1 * ((input1 * -2.1127465) + 0.98844767)) + sin(input1 * 1.3851008)) + (sin(input1 * 1.38513) + exp((input1 + -19.067225) * 0.6525687))"
27,2.0560544,"(sin((input1 * (((input1 + -0.0007472477) * -2.1127174) + 0.9891518)) + sin(input1 * 1.3851025)) + sin(input1 * 1.385128)) + exp((input1 + -19.067217) * 0.6526321)"
28,2.049966,"(sin(input1 * -1.258341) + (exp((input1 + -19.067177) * 0.65299577) + -0.16208479)) + sin(sin(sin(input1 * -1.2583603)) + (((input1 * -2.1128483) + 0.98841166) * input1))"
