Complexity,Loss,Equation
1,5.4976113e-9,"0.00010558176"
3,1.7014543e-9,"input0 * 2.1943642e-7"
5,1.074426e-9,"(input0 * 1.7251236e-7) + 3.6191235e-5"
7,1.0743008e-9,"((javautilVector + input0) * 1.7243573e-7) + 3.6187936e-5"
8,1.0394381e-9,"sin((input0 * 0.0005122577) + 0.08413183) * 0.0003785677"
9,1.0388093e-9,"sin(sin((input0 + 158.81223) * -0.0004129577)) * -0.00047650866"
11,1.0388013e-9,"((input0 + 140.59798) * -0.001532799) * ((input0 * 1.8122057e-8) + -0.00013903933)"
12,1.0384446e-9,"sin(((input0 + (javautilconcurrentCopyOnWriteArrayListcontainsAlljavautilCollection * -10.071828)) * 0.0005169239) + 0.08894656) * 0.0003736998"
14,1.0343824e-9,"sin(((input0 + (input0 * (javautilLinkedListcontainsAlljavautilCollection * -0.051196337))) * 0.00052059744) + 0.08882932) * 0.0003742586"
15,1.0334887e-9,"(input0 + 140.59798) * ((((input0 + (javautilLinkedListcontainsAlljavautilCollection * 304.76105)) * 1.8442131e-8) + -0.00014086199) * -0.0015329622)"
16,1.0327514e-9,"sin(((input0 + ((input0 * (javautilconcurrentCopyOnWriteArrayListcontainsAlljavautilCollection + javautilLinkedListcontainsAlljavautilCollection)) * -0.067576736)) * 0.0005235077) + 0.08882932) * 0.00037443876"
17,1.0327261e-9,"sin(((input0 + (((sin(javautilLinkedListcontainsAlljavautilCollection) + javautilconcurrentCopyOnWriteArrayListcontainsAlljavautilCollection) * -0.06958059) * input0)) * 0.00052059744) + 0.08894656) * 0.0003742586"
18,1.0322244e-9,"sin(((input0 + ((input0 * (javautilLinkedListcontainsAlljavautilCollection + (javautilconcurrentCopyOnWriteArrayListcontainsAlljavautilCollection + javautilconcurrentCopyOnWriteArrayListcontainsAlljavautilCollection))) * -0.051196337)) * 0.0005213064) + 0.08882932) * 0.0003742663"
20,1.0267426e-9,"(((input0 + ((javautilLinkedListcontainsAlljavautilCollection + (javautilArrayListcontainsAlljavautilCollection * sin(input0))) * 225.97246)) * 3.2953057e-8) + -0.0002343826) * ((input0 + 126.81131) * -0.00094393326)"
22,1.0215787e-9,"(((input0 + ((javautilLinkedListcontainsAlljavautilCollection + sin((-0.59383786 + input0) * 1.3691362)) * 225.97246)) * 3.6102477e-8) + -0.00023753771) * ((input0 + 126.81131) * -0.0009447062)"
24,1.0176447e-9,"(((input0 + ((javautilLinkedListcontainsAlljavautilCollection + sin(((javautilLinkedListcontainsAlljavautilCollection + -0.59383786) + input0) * 1.3691362)) * 225.97246)) * 3.6102477e-8) + -0.00023753771) * ((input0 + 126.81131) * -0.0009447062)"
