Complexity,Loss,Equation
1,5.44483e-10,"3.8346636e-5"
4,4.725119e-10,"log(input0) * 7.2245475e-6"
6,4.6432921e-10,"(log(input0) + javautilconcurrentCopyOnWriteArrayList) * 6.9901994e-6"
7,4.642767e-10,"6.9901994e-6 * (log(input0) + sin(javautilconcurrentCopyOnWriteArrayList))"
8,4.6232665e-10,"((javautilconcurrentCopyOnWriteArrayList + log(input0)) * 8.253372e-6) + -7.253146e-6"
10,4.6202397e-10,"log(input0) * (6.989199e-6 + (javautilconcurrentCopyOnWriteArrayListsize * (9.28218e-5 * 0.01886794)))"
12,4.4538132e-10,"((log(input0) + cos(log(input0) * 1.5349206)) * 9.368046e-6) + -9.192231e-6"
15,4.4534645e-10,"((log(input0) + cos(log(input0) + (log(input0) * -2.526236))) * 9.42268e-6) + -9.482646e-6"
16,4.446012e-10,"sin(((log(input0) + sin(javautilconcurrentCopyOnWriteArrayListsize + sin(log(input0) * 1.7291903))) * 9.8712e-6) + -1.3843397e-5)"
17,4.4055265e-10,"((log(input0) + sin(javautilconcurrentCopyOnWriteArrayListsize + sin((log(input0) * 1.7719853) + javautilconcurrentCopyOnWriteArrayList))) * 1.0398818e-5) + -1.61898e-5"
22,4.3920828e-10,"((sin(javautilconcurrentCopyOnWriteArrayListsize + cos(((log(input0) + log(input0)) + (javautilconcurrentCopyOnWriteArrayList + javautilLinkedListsize)) + 3.2788079)) + log(input0)) * 9.570869e-6) + -1.20446675e-5"
23,4.3894044e-10,"((log(input0) + sin(javautilconcurrentCopyOnWriteArrayListsize + cos(((javautilconcurrentCopyOnWriteArrayList + (sin(javautilLinkedListsize) + -2.9685442)) + log(input0)) + log(input0)))) * 9.615082e-6) + -1.2271793e-5"
26,4.3878998e-10,"((log(input0) + sin(javautilconcurrentCopyOnWriteArrayListsize + cos((((javautilconcurrentCopyOnWriteArrayList + sin(javautilconcurrentCopyOnWriteArrayList + sin(javautilLinkedListsize))) + -2.967104) + log(input0)) + log(input0)))) * 9.674952e-6) + -1.2564201e-5"
