Complexity,Loss,Equation
1,7.9874135e-10,"3.8814058e-5"
5,7.9656803e-10,"(javalangDouble * -3.6930737e-6) + 3.9548453e-5"
7,7.163785e-10,"cos(exp(input0 * -0.033411335)) * 4.5205863e-5"
8,6.9613665e-10,"cos(exp(exp(input0 * -0.3661427))) * 7.895217e-5"
9,6.788628e-10,"cos(exp(input0 * -0.11991451) * 1.8696501) * 4.4473523e-5"
11,6.7737793e-10,"cos(exp(((input0 + javautilLinkedHashSet) * -0.13546386) + 0.744415)) * 4.4269756e-5"
13,6.7676936e-10,"cos(exp(((javautilLinkedHashSet + (javautilHashSet + input0)) * -0.13545007) + 0.744415)) * 4.415252e-5"
14,6.727093e-10,"cos(exp(input0 * -0.3100974) + exp((input0 * -0.0029408145) + 8.877231e-5)) * 6.870142e-5"
23,6.7135114e-10,"cos((CyclomaticComplexity + cos(exp(cos(sin(input0) + 0.9589709)) * sin(input1 * javautilLinkedHashSet))) * exp(input0 * -0.12552065)) * sin(4.4342185e-5)"
24,6.7112654e-10,"cos(exp(input0 * -0.12552065) * (CyclomaticComplexity + cos((cos(exp(sin(input0)) * -0.7910498) + javautilLinkedHashSet) * sin(javautilLinkedHashSet * input1)))) * 4.4278448e-5"
25,6.711219e-10,"sin(4.4254986e-5 * cos(exp(-0.12552065 * input0) * (CyclomaticComplexity + cos(javautilLinkedHashSet * (sin(input1) * (javautilLinkedHashSet + cos(0.7695156 * exp(sin(input0)))))))))"
26,6.7108247e-10,"cos((CyclomaticComplexity + cos((sin(input1) * (cos(exp(sin(input0)) * -0.7597223) + 0.9589709)) * (javautilLinkedHashSet * -1.0674595))) * exp(input0 * -0.12552065)) * 4.4254986e-5"
28,6.706954e-10,"cos(((cos(sin((javalangLong + input1) * (javautilLinkedHashSetcontainsjavalangObject + (javalangDouble + javautilHashSet)))) * 1.4234817) + 0.7272366) * exp((input0 * -0.13540988) * cos(javautilHashSet * javalangDouble))) * 4.442659e-5"
30,6.700137e-10,"cos(((cos(sin(((javautilHashSet + javalangDouble) + javautilLinkedHashSetcontainsjavalangObject) * (input1 + (javalangLong + javalangLong)))) * 1.4234817) + 0.71811604) * exp(cos(javautilHashSet * javalangDouble) * (input0 * -0.13540988))) * 4.439558e-5"
