Complexity,Loss,Equation
1,4.6963744e-10,"3.5218272e-5"
4,3.9143827e-10,"log(input0) * 1.1725462e-5"
5,3.909892e-10,"(javautilconcurrentCopyOnWriteArraySetiterator * -2.0576745e-5) + 4.0291383e-5"
6,3.704721e-10,"(log(input0) + javautilHashSetiterator) * 1.0888323e-5"
7,3.6067102e-10,"(cos(javautilconcurrentCopyOnWriteArraySet) + log(input0)) * 9.277842e-6"
8,3.4025396e-10,"(log(input0) + cos(exp(javautilconcurrentCopyOnWriteArraySet))) * 1.1023469e-5"
9,3.3367684e-10,"(log(input0) + cos(javautilconcurrentCopyOnWriteArraySet * -2.2422533)) * 9.845746e-6"
10,3.2957517e-10,"(javautilconcurrentCopyOnWriteArraySet * -1.7553833e-5) + ((log(input0) + 2.2852147) * 7.5973944e-6)"
12,3.2432068e-10,"(cos((log(input0) + 1.1859328) * javautilconcurrentCopyOnWriteArraySet) + log(input0)) * 9.775312e-6"
14,3.2113961e-10,"(javautilHashSetiterator + (log(input0) + cos((javautilconcurrentCopyOnWriteArraySet * log(input0)) * 1.466803))) * 9.026361e-6"
15,3.1979047e-10,"(sin(javautilHashSetiterator) + (log(input0) + cos(javautilconcurrentCopyOnWriteArraySet * (log(input0) + 1.329451)))) * 9.193339e-6"
16,3.173593e-10,"((log(input0) + 0.5256824) + (cos(exp(javautilconcurrentCopyOnWriteArraySet)) * (sin(log(input0)) + ImportsUsed))) * 9.510666e-6"
17,3.1595165e-10,"9.510666e-6 * (log(input0) + (cos(-0.84183013) + ((sin(log(input0)) + ImportsUsed) * cos(exp(javautilconcurrentCopyOnWriteArraySet)))))"
18,3.1473904e-10,"((log(input0) + cos((log(input0) + 1.1424375) * javautilconcurrentCopyOnWriteArraySet)) + sin(javautilTreeSetiterator * log(input0))) * 9.971689e-6"
20,3.1262148e-10,"(log(input0) + (((sin(log(input0)) + 0.89446837) * cos(cos(javautilHashSetiterator) + (javautilconcurrentCopyOnWriteArraySet * -10.516366))) + 0.54123783)) * 9.722473e-6"
21,3.1129568e-10,"((cos(cos(javautilHashSetiterator) + (javautilconcurrentCopyOnWriteArraySet * log(input0))) * (sin(log(input0)) + CyclomaticComplexity)) + (log(input0) + 0.15693703)) * 1.0452197e-5"
22,3.1039674e-10,"(cos((log(input0) * -1.3750587) * javautilconcurrentCopyOnWriteArraySet) + (log(input0) + (cos(exp(javautilconcurrentCopyOnWriteArraySetiterator)) * (javautilHashSetiterator + sin(log(input0)))))) * 9.532507e-6"
23,3.1006586e-10,"((((sin(sin(log(input0))) + javautilHashSetiterator) * cos(exp(javautilconcurrentCopyOnWriteArraySetiterator))) + log(input0)) + cos(javautilconcurrentCopyOnWriteArraySet * (-1.400008 * log(input0)))) * 9.511326e-6"
24,3.027167e-10,"9.583976e-6 * (((javautilHashSetiterator + sin((javautilHashSetiterator + javautilTreeSetiterator) * (log(input0) + javautilHashSetiterator))) + cos((javautilconcurrentCopyOnWriteArraySet * 1.3585322) * log(input0))) + log(input0))"
27,3.0007902e-10,"(javautilHashSetiterator + ((sin(sin(log(input0) + javautilHashSetiterator) * ((javautilTreeSetiterator + javautilHashSetiterator) + javautilHashSetiterator)) + cos(javautilconcurrentCopyOnWriteArraySet * (log(input0) * 1.3772385))) + log(input0))) * 9.717866e-6"
30,2.9912792e-10,"((javautilHashSetiterator + (((javautilHashSet + cos(javautilconcurrentCopyOnWriteArraySet + 1.3426163)) + javautilTreeSetiterator) * sin(sin(log(input0) + javautilHashSetiterator)))) + (log(input0) + cos(javautilconcurrentCopyOnWriteArraySet * (log(input0) * 1.3585322)))) * 9.727854e-6"
