Complexity,Loss,Equation
1,7.861836e-10,"4.1805146e-5"
4,7.4355305e-10,"log(input0) * 1.2345451e-5"
6,7.132972e-10,"(log(input0) * 7.671657e-6) + 1.6936461e-5"
7,6.95002e-10,"sin(log(input0) * 0.36014575) * 4.9155857e-5"
8,6.9350137e-10,"sin(sin(log(input0) * 0.33577555)) * 5.7968122e-5"
9,6.934126e-10,"sin(sin(sin(log(input0) * 0.30809066))) * 6.5872155e-5"
10,6.918077e-10,"(log(input0) + sin(log(input0) + -0.78377396)) * 1.1804316e-5"
12,6.9140826e-10,"(log(input0) + sin((log(input0) + -0.5595832) * 0.8984237)) * 1.1579977e-5"
13,6.857646e-10,"1.2156117e-5 * (log(input0) + (cos(javautilconcurrentCopyOnWriteArraySetremovejavalangObject) * sin(log(input0) + -0.70740545)))"
14,6.850542e-10,"(((log(input0) + javautilLinkedHashSetremovejavalangObject) + sin(log(input0) + -1.2789657)) * 8.825537e-6) + 6.7533333e-6"
15,6.842568e-10,"(javautilLinkedHashSetremovejavalangObject + ((cos(javalangLong) + sin(log(input0) + -1.3735626)) + log(input0))) * 8.5238935e-6"
16,6.8381734e-10,"((javautilLinkedHashSetremovejavalangObject + cos(javalangLong)) + (sin(sin(log(input0) + -1.4459423)) + log(input0))) * 8.596931e-6"
17,6.817447e-10,"(sin((log(input0) * cos(javautilconcurrentCopyOnWriteArraySet)) + -1.1918699) + ((log(input0) + javautilLinkedHashSetremovejavalangObject) + 1.0261406)) * 8.51682e-6"
18,6.794045e-10,"log(input0) * (cos(sin((cos((javautilLinkedHashSet + -0.2259464) + javalangDouble) * -0.30467635) * log(input0))) * 1.851976e-5)"
19,6.7812933e-10,"(log(input0) + sin((log(input0) + -0.46313754) * cos(((javautilLinkedHashSetremovejavalangObject + javautilconcurrentCopyOnWriteArraySetremovejavalangObject) + javautilconcurrentCopyOnWriteArraySet) * 0.75923735))) * 1.2171767e-5"
20,6.771823e-10,"(log(input0) * cos(sin((cos(javautilLinkedHashSet + ((javalangDouble + -0.32652718) + javautilHashSet)) * -0.30467635) * log(input0)))) * 1.7996486e-5"
21,6.752727e-10,"(log(input0) + sin(((log(input0) + javalangInteger) + -0.5674657) * cos(((javautilLinkedHashSetremovejavalangObject + javautilconcurrentCopyOnWriteArraySet) + javautilconcurrentCopyOnWriteArraySet) * 0.75923735))) * 1.2266606e-5"
22,6.7522954e-10,"(sin(((sin(javalangInteger) + -0.5674657) + log(input0)) * cos((javautilLinkedHashSetremovejavalangObject + (javautilconcurrentCopyOnWriteArraySet + javautilconcurrentCopyOnWriteArraySet)) * 0.75923735)) + log(input0)) * 1.21365465e-5"
23,6.7291395e-10,"(log(input0) + sin(cos(cos(log(input0) * (javautilconcurrentCopyOnWriteArraySet + ((javautilLinkedHashSetremovejavalangObject * 0.74024975) + javautilconcurrentCopyOnWriteArraySet))) + -0.5674657) * log(input0))) * 1.23639775e-5"
26,6.7163797e-10,"(log(input0) * 1.7695898e-5) * cos(sin((cos((javautilLinkedHashSet + (cos((javalangFloat + javautilHashSetremovejavalangObject) + exp(ReassignmentsDepth0)) * -0.5716077)) + javalangDouble) * log(input0)) * -0.27948302))"
29,6.7042566e-10,"1.21365465e-5 * (log(input0) + sin(cos(cos((log(input0) + javalangInteger) * ((javautilconcurrentCopyOnWriteArraySet + javautilconcurrentCopyOnWriteArraySet) + (-0.6936984 * javautilLinkedHashSetremovejavalangObject))) + -0.5674657) * (log(input0) + (javalangInteger + -0.19680282))))"
