Complexity,Loss,Equation
1,7.0525386e-10,"3.6192127e-5"
4,6.7294037e-10,"cos(javautilTreeMapclear) * 3.814915e-5"
5,6.4716915e-10,"(input0 * 3.8468858e-7) + 2.7612436e-5"
8,6.237548e-10,"(input0 * 3.5544858e-7) + (cos(javautilTreeMap) * 2.9864921e-5)"
9,6.073366e-10,"(cos(javautilTreeMap) + sin(input0 * 0.025499789)) * 2.6024625e-5"
10,6.070411e-10,"(sin(sin(input0 * 0.024084639)) + cos(javautilTreeMap)) * 2.7062553e-5"
11,5.9783845e-10,"(cos(javautilTreeMap + javautilTreeSetclear) + sin(input0 * 0.025467925)) * 2.7077624e-5"
12,5.9733507e-10,"sin((cos(javautilTreeMap + javautilTreeSetclear) + sin(input0 * 0.021784699)) * 2.7962371e-5)"
13,5.967052e-10,"(sin((input0 + javautilconcurrentConcurrentHashMap) * 0.025467925) + cos(javautilTreeMap + javautilTreeSetclear)) * 2.7077624e-5"
14,5.919355e-10,"(cos(javautilTreeMap) + sin((javautilconcurrentConcurrentHashMap + cos(javautilTreeSet)) * (input0 * 0.0254619))) * 2.6034839e-5"
15,5.9169775e-10,"(((cos(javautilTreeSetclear) * sin(sin(input0 * 0.024214527))) + cos(javautilTreeMap)) * 3.771128e-5) + -1.3851199e-5"
16,5.8807614e-10,"((cos(javautilTreeMapclear) + sin(((cos(javautilTreeSetclear) + javautilconcurrentConcurrentHashMap) * input0) * 0.02421453)) * 3.2121356e-5) + -8.582273e-6"
17,5.8540367e-10,"((sin(sin((javautilconcurrentConcurrentHashMap + cos(javautilTreeSetclear)) * (input0 * 0.024214532))) + cos(javautilTreeMap)) * 3.6523325e-5) + -1.3488318e-5"
18,5.843751e-10,"(((javautilconcurrentConcurrentHashMap + (javautilHashMapclear + 1.2525983)) * sin((cos(javautilTreeSetclear) * input0) * 0.02801713)) + cos(javautilTreeMap)) * 2.2650458e-5"
19,5.8047084e-10,"((cos(javautilTreeMap) + sin(sin(input0 * 0.02418473) * (cos(javautilTreeSetclear) + (javautilHashMapclear + javautilconcurrentConcurrentHashMap)))) * 3.752446e-5) + -1.4903039e-5"
21,5.790257e-10,"((cos(javautilTreeMap) + sin(sin((input0 * cos(javautilTreeSetclear)) * 0.026084756) * (javautilconcurrentConcurrentHashMap + (javautilHashMapclear + 1.026428)))) * 3.4984776e-5) + -1.3378829e-5"
22,5.7760446e-10,"-1.4903039e-5 + ((sin((cos(javautilTreeSetclear) + javautilHashMapclear) * sin((javautilconcurrentConcurrentHashMap + cos(javautilconcurrentCopyOnWriteArraySet)) * (input0 * 0.024214525))) + cos(javautilTreeMap)) * 3.752446e-5)"
25,5.770015e-10,"((sin(sin(cos(javautilTreeSetclear) * ((javautilconcurrentConcurrentHashMap + (cos(javautilconcurrentCopyOnWriteArraySet) * (cos(javautilTreeSetclear) + javautilHashMapclear))) * (input0 * 0.024214527)))) + cos(javautilTreeMap)) * 3.8277823e-5) + -1.5247584e-5"
26,5.760721e-10,"((cos(sin(javautilTreeMapclear)) + sin(sin(((input0 * cos(javautilTreeSetclear)) * 0.026084762) + (javautilconcurrentConcurrentHashMapclear * 0.88361806)) + (javautilHashMapclear * (input0 * 0.026084755)))) * 3.7753518e-5) + -1.845079e-5"
28,5.7548477e-10,"-1.3502096e-5 + ((cos(sin(javautilTreeMapclear)) + sin((0.026084756 * (input0 * javautilHashMapclear)) + sin((input0 * cos(javautilTreeSetclear)) * ((0.88361806 + (javautilconcurrentConcurrentHashMap + javautilLinkedHashMapclear)) * 0.02608476)))) * 3.535536e-5)"
29,5.7412697e-10,"-1.3502096e-5 + ((0.98876286 * (cos(sin(javautilTreeMapclear)) + sin(sin((input0 * (0.02608476 * cos(javautilTreeSetclear))) + (javautilconcurrentConcurrentHashMapclear * exp(-0.7043924))) + (javautilHashMapclear * (input0 * 0.026084756))))) * 3.535536e-5)"
30,5.73237e-10,"((cos(sin(javautilTreeMapclear)) + sin(((javautilconcurrentConcurrentHashMap + (input0 * javautilHashMapclear)) * 0.026084755) + sin(((input0 * cos(javautilTreeSetclear)) * ((javautilconcurrentConcurrentHashMap + 0.88361806) + javautilLinkedHashMapclear)) * 0.026084762))) * 3.9118484e-5) + -1.9129391e-5"
