Complexity,Loss,Equation
1,6.535053e-10,"2.2572018e-5"
3,4.946655e-10,"input0 * 8.837824e-7"
5,4.728162e-10,"(input0 * 7.001203e-7) + 7.12051e-6"
6,4.395791e-10,"sin(input0 * -0.023393823) * -5.223026e-5"
7,4.384416e-10,"sin(sin(input0 * -0.021493025)) * -6.0113325e-5"
9,4.3777568e-10,"sin(sin((javautilLinkedHashSet + input0) * -0.021319937)) * -6.023375e-5"
11,4.367555e-10,"sin(sin(((javautilTreeMap * -3.1062615) + input0) * -0.021493118)) * -6.068323e-5"
12,4.362305e-10,"sin(sin((input0 + sin(input0 * 0.2495264)) * -0.021493116)) * -6.0234004e-5"
13,4.3606557e-10,"sin(sin((input0 + ((javautilHashMapisEmpty + javautilTreeMapisEmpty) * -2.619647)) * -0.02149312)) * -6.107999e-5"
14,4.3599216e-10,"sin(sin(((input0 + sin(input0 * 0.2495264)) + -0.28685036) * -0.021493118)) * -6.067152e-5"
15,4.3511916e-10,"sin(sin(sin(((sin(input0 * 0.2495264) * 2.4117894) + input0) * -0.021493116)) * -6.0146496e-5)"
16,4.3482354e-10,"sin(sin(((sin(javautilTreeMapisEmpty + (input0 * 0.2495264)) * 2.4117894) + input0) * -0.021493118)) * -6.031415e-5"
17,4.344834e-10,"sin(sin(-0.021493116 * ((exp(ImportsUsed) * sin(-0.34201655 + (0.2495264 * input0))) + input0))) * -6.0146496e-5"
18,4.3020912e-10,"(cos(exp((exp(sin(exp(input0 * 0.07289426)) + 1.2896557) + input0) * -0.023621542)) * 0.00019207063) + -0.0001383885"
20,4.2872575e-10,"(cos(exp(-0.023559095 * (exp(sin(javautilTreeMap + exp(input0 * 0.07289423)) + 1.2896557) + input0))) * 0.00018750115) + -0.00013406677"
21,4.2872567e-10,"sin((cos(exp((input0 + exp(sin(exp(input0 * 0.0728942) + javautilTreeMap) + 1.2896557)) * -0.02355936)) * 0.00018752043) + -0.00013408827)"
22,4.281108e-10,"(cos(exp((javautilLinkedHashSetisEmpty + (input0 + exp(sin(javautilTreeMap + exp(input0 * 0.07289423)) + 1.2896557))) * -0.023559103)) * 0.00018923715) + -0.00013576569"
24,4.2786164e-10,"(cos(exp((((javautilLinkedHashSetisEmpty * 1.9534417) + input0) + exp(sin(exp(input0 * 0.07289423) + javautilTreeMap) + 1.2896557)) * -0.023559103)) * 0.00018922481) + -0.00013577747"
25,4.2785284e-10,"(cos(exp(((javautilLinkedHashSetisEmpty * 2.2074487) + (input0 + exp(sin(javautilTreeMap + exp(input0 * 0.07289423)) + 1.2896557))) * -0.023559086)) * 0.00018874412) + sin(-0.00013540572)"
28,4.2759196e-10,"sin((cos(exp(((input0 + (2.2074487 * javautilLinkedHashSetisEmpty)) + exp((sin(sin(javautilTreeMap) + exp(input0 * 0.07289423)) + 1.2896557) * MethodInvocationsDepth0)) * -0.023559086)) * 0.00018874412) + -0.00013540572)"
29,4.2740672e-10,"-0.00013576569 + (cos(exp((exp(sin(exp(0.07289423 * input0) + javautilTreeMap) + 1.2896557) + (input0 + (exp(sin(exp(input0 * 0.07289423))) * javautilLinkedHashSetisEmpty))) * -0.023559103)) * 0.00018923715)"
