Complexity,Loss,Equation
1,6.152225e-10,"1.9970588e-5"
3,4.287877e-10,"input0 * 8.106001e-7"
5,4.2071233e-10,"(input0 * 7.03492e-7) + 4.2788247e-6"
6,3.888978e-10,"sin(input0 * 0.021721996) * 5.0348994e-5"
7,3.8849785e-10,"sin(sin(input0 * 0.019514922)) * 5.8648533e-5"
8,3.8753223e-10,"(sin(input0 * 0.02284612) * 5.2976415e-5) + -2.4402925e-6"
9,3.8551906e-10,"sin(sin((input0 + -2.656908) * 0.022550553)) * 5.8064754e-5"
10,3.8539488e-10,"(sin(sin(sin(input0 * 0.020165851))) * 7.0554044e-5) + -4.2853026e-6"
11,3.846153e-10,"sin(sin(((javautilconcurrentConcurrentHashMap + input0) + -3.0195699) * 0.022550616)) * 5.847981e-5"
13,3.836722e-10,"sin(sin((((javautilconcurrentConcurrentHashMap + javautilHashtable) + -3.213532) + input0) * 0.022550616)) * 5.8715654e-5"
14,3.828257e-10,"sin(((input0 + input0) + (input0 * (javautilconcurrentConcurrentHashMapsize + javautilHashtable))) * 0.009901867) * 5.081074e-5"
16,3.8001596e-10,"sin(((input0 + ((javautilconcurrentCopyOnWriteArraySet + (javautilconcurrentConcurrentHashMapsize + javautilHashtablesize)) * input0)) + input0) * 0.009700755) * 4.9918657e-5"
17,3.799988e-10,"sin(sin((input0 + (input0 + (((javautilconcurrentConcurrentHashMapsize + javautilconcurrentCopyOnWriteArraySet) + javautilHashtablesize) * input0))) * 0.009448654) * 5.0712966e-5)"
18,3.7998915e-10,"(sin(((input0 + input0) + (input0 * (javautilconcurrentCopyOnWriteArraySet + (javautilconcurrentConcurrentHashMapsize + javautilHashtablesize)))) * 0.009569794) * 5.032371e-5) + LoopCount"
19,3.7892045e-10,"sin(((input0 + (input0 * (javautilconcurrentCopyOnWriteArraySet + (javautilconcurrentConcurrentHashMapsize + javautilHashtablesize)))) + (input0 + -1.5699962)) * 0.009718374) * sin(5.137812e-5)"
20,3.7759473e-10,"sin(((((input0 * ((javautilconcurrentCopyOnWriteArraySetsize + javautilHashtablesize) + javautilconcurrentConcurrentHashMapsize)) + input0) * 0.0087673515) + (input0 * 0.013709537)) + -0.06039449) * 5.096372e-5"
22,3.7732778e-10,"sin(sin((((sin(javautilconcurrentConcurrentHashMap + (input0 * 0.026694974)) * (input0 + input0)) + (input0 * javautilHashtable)) + input0) * 0.009048419)) * 5.4947435e-5"
23,3.760824e-10,"sin((input0 + ((javautilHashtablesize * input0) + ((javautilconcurrentCopyOnWriteArraySet + (sin((input0 + input0) * 0.016605759) + javautilconcurrentConcurrentHashMap)) * input0))) * 0.011628151) * 4.80763e-5"
24,3.7533363e-10,"sin(sin(((((sin((input0 + input0) * 0.01378347) + (javautilconcurrentCopyOnWriteArraySet + javautilconcurrentConcurrentHashMap)) * input0) + input0) + (javautilHashtablesize * input0)) * 0.0105954)) * 5.7040535e-5"
25,3.748406e-10,"sin(sin(((input0 * (sin(javautilconcurrentCopyOnWriteArraySet + javautilconcurrentConcurrentHashMap) + sin((input0 + input0) * 0.013783469))) + (input0 + (javautilHashtablesize * input0))) * 0.010595416)) * 5.7223027e-5"
26,3.7470763e-10,"sin(sin((((input0 * javautilHashtablesize) + input0) + ((((javautilconcurrentCopyOnWriteArraySet * 0.72604835) + javautilconcurrentConcurrentHashMap) + sin((input0 + input0) * 0.013783471)) * input0)) * 0.010595403)) * 5.724297e-5"
27,3.7456727e-10,"sin(sin((((javautilHashtablesize * input0) + (input0 + (input0 * (sin((input0 + input0) * 0.01378347) + (javautilconcurrentConcurrentHashMap + sin(javautilconcurrentCopyOnWriteArraySet)))))) + -1.0409166) * 0.0105954)) * 5.7040535e-5"
29,3.744787e-10,"sin(sin(((((javautilHashtablesize * input0) + -1.6697825) + (input0 + (input0 * (sin((input0 + input0) * 0.013783469) + (javautilconcurrentConcurrentHashMap + sin(javautilconcurrentCopyOnWriteArraySet)))))) + 0.62886596) * 0.0105954185)) * 5.7720023e-5"
