Complexity,Loss,Equation
1,7.4990425e-10,"3.9827613e-5"
4,7.161976e-10,"log(input0) * 1.2720469e-5"
6,6.7239275e-10,"(log(input0) * 7.4917275e-6) + 1.7819191e-5"
7,6.5130734e-10,"sin(log(input0) * -0.3912197) * -4.8281116e-5"
8,6.486169e-10,"sin(sin(log(input0) * -0.36285347)) * -5.6770306e-5"
10,6.4618844e-10,"(sin(log(input0) + -0.54175365) + log(input0)) * 1.2228945e-5"
12,6.428438e-10,"sin((log(input0) * -0.40424728) * sin(javautilHashMap + 4.48601)) * 4.887154e-5"
14,6.4143163e-10,"((input0 * 1.762655e-7) * exp(javautilLinkedHashMapcontainsKeyjavalangObject)) + ((cos(log(input0)) + -1.5443504) * -1.6185599e-5)"
16,6.414092e-10,"((cos(log(input0)) + -0.98181266) * -1.5918631e-5) + (((input0 * exp(javautilLinkedHashMapcontainsKeyjavalangObject)) * 1.7484099e-7) + 9.584923e-6)"
17,6.389475e-10,"(((input0 * -2.4109683e-8) + -1.5653144e-5) * ((cos(log(input0)) + (javautilHashMap * 0.54539245)) + -9.170637)) + -0.00011726324"
18,6.376573e-10,"((javautilHashMap + ((cos(javalangDouble) + -9.881945) + cos(log(input0)))) * ((input0 * -2.9405008e-8) + -1.3371311e-5)) + -9.291254e-5"
19,6.3733807e-10,"((input0 * 2.171895e-7) + (((cos(log(input0)) + (cos(cos(javalangShort)) * javautilHashMap)) + -6.50266) * -1.6207077e-5)) + -7.9034966e-5"
20,6.33496e-10,"(((input0 * -3.5168767e-8) + -1.5678224e-5) * ((javautilHashMap * 0.47248462) + (cos(javalangDouble) + (cos(log(input0)) + -7.674876)))) + -8.074242e-5"
22,6.320636e-10,"(((cos(javalangDouble) + -20.623993) + (cos(log(input0)) + (cos(cos(javalangDouble)) * javautilHashMap))) * ((input0 * -1.1593424e-8) + -1.6272776e-5)) + -0.00029486776"
24,6.3073213e-10,"(((input0 * -2.7772762e-8) + -1.5222699e-5) * (((((javautilHashMap * cos(javalangLong)) * cos(0.7306173)) + cos(javalangDouble)) + cos(log(input0))) + -9.881945)) + -0.00011060835"
25,6.3000943e-10,"(((((cos(javalangLong * -1.390004) * javautilHashMap) * 0.71515006) + (cos(javalangDouble) + cos(log(input0)))) + -9.881945) * ((input0 * -2.7176082e-8) + -1.5199734e-5)) + -0.00011059033"
28,6.299479e-10,"-0.00011060835 + (((-2.7772762e-8 * (input0 + javalangInteger)) + -1.5222699e-5) * ((javautilHashMap * cos(javalangLong + (cos(javalangLong) * 0.7306173))) + (cos(javalangDouble) + (cos(log(input0)) + -9.881945))))"
30,6.2974165e-10,"((((input0 + -2.560436) * -2.7083448e-8) + -1.5273697e-5) * (cos(javalangDouble) + ((cos(log(input0)) + ((javautilHashMap * 0.88225776) * sin(javalangDouble + cos(javalangLong + 0.39679956)))) + -9.881945))) + -0.00011058089"
