Complexity,Loss,Equation
1,8.130824e-10,"3.9848233e-5"
4,7.3438317e-10,"log(input0) * 1.2844287e-5"
6,7.059521e-10,"(log(input0) * 8.6906275e-6) + 1.4237391e-5"
7,6.9435674e-10,"sin(log(input0) * 0.35717282) * 4.989546e-5"
9,6.94345e-10,"4.989546e-5 * sin(log(input0) * (ThreadUsage + 0.35614198))"
10,6.91432e-10,"(sin(log(input0) * 0.679977) + log(input0)) * 1.1065383e-5"
11,6.90934e-10,"1.2151216e-5 * (log(input0) + sin(sin(-0.6273126 + log(input0))))"
12,6.90649e-10,"(log(input0) + sin((log(input0) + -0.005219221) * 0.71172005)) * 1.1257319e-5"
13,6.8917844e-10,"(log(input0) + exp(sin(log(input0) + -0.83521223) + -0.5908899)) * 1.0259143e-5"
14,6.88727e-10,"((sin(sin(sin(log(input0) + -0.9575268))) + 0.8413456) + log(input0)) * 9.6833655e-6"
15,6.8742756e-10,"8.913517e-6 * ((sin(sin((javalangShort + -1.3305548) + log(input0))) + 1.1874167) + log(input0))"
16,6.8659045e-10,"(cos(javautilTreeMap) + (log(input0) + sin(sin((javalangShort + -1.2880925) + log(input0))))) * 9.49368e-6"
17,6.8581213e-10,"(cos(javautilTreeMap) + (log(input0) + sin(sin(sin((javalangShort + log(input0)) + -1.3384116))))) * 9.546577e-6"
18,6.8534e-10,"(sin(sin(sin((log(input0) + -1.2880925) + sin(javalangShort)))) + (cos(javautilTreeMap) + log(input0))) * 9.539499e-6"
19,6.849143e-10,"(sin(sin(sin(((javautilLinkedHashMapgetjavalangObject + javalangShort) + -1.2880925) + log(input0)))) + (cos(javautilTreeMap) + log(input0))) * 9.568282e-6"
20,6.841452e-10,"(log(input0) + (sin(sin(((javautilconcurrentConcurrentHashMapgetjavalangObject * -0.74936754) + log(input0)) + sin(javalangShort + -1.4869087))) + 0.84441316)) * 9.736936e-6"
21,6.838264e-10,"(log(input0) + (sin(sin(sin(sin(javalangShort + -1.3159308) + (log(input0) + (javautilconcurrentConcurrentHashMapgetjavalangObject * -0.8966425))))) + 0.79667705)) * 9.965139e-6"
23,6.8296574e-10,"((log(input0) + 0.7842646) + sin(sin((log(input0) + (javautilconcurrentConcurrentHashMapgetjavalangObject * -1.0512129)) + ((javautilHashMap * -0.7023301) + (javalangShort + -0.8189182))))) * 1.0080418e-5"
24,6.816405e-10,"(log(input0) + (sin(sin(((sin((javautilHashMap * -2.335151) + javalangShort) + -0.8189182) + (javautilconcurrentConcurrentHashMapgetjavalangObject * -0.79438514)) + log(input0))) + 0.7842646)) * 1.0080418e-5"
25,6.815134e-10,"(sin(sin(sin((((-0.79438514 * javautilconcurrentConcurrentHashMapgetjavalangObject) + log(input0)) + sin((javautilHashMap * -2.335151) + javalangShort)) + -0.79438514))) + (log(input0) + 0.7842646)) * 1.0080418e-5"
26,6.814946e-10,"(log(input0) + (sin(sin(sin((-0.79438514 + sin((javautilHashMap * -2.335151) + javalangShort)) + ((javautilconcurrentConcurrentHashMapgetjavalangObject * -0.79438514) + log(input0))))) + 0.7842646)) * sin(1.0104308e-5)"
27,6.813492e-10,"sin((log(input0) + (sin(sin(sin((sin(sin((javautilHashMap * -2.335151) + javalangShort)) + -0.8189182) + ((javautilconcurrentConcurrentHashMapgetjavalangObject * -0.79438514) + log(input0))))) + 0.7842646)) * 1.0104308e-5)"
29,6.8042816e-10,"(CyclomaticComplexity + -0.9999903) * (log(input0) + ((sin(log(input0) + (sin(javalangShort) + -1.1156535)) + 1.0904169) * sin(javautilHashMap + (sin(javautilconcurrentConcurrentHashMapgetjavalangObject + cos(log(input0))) + 1.4368863))))"
