Complexity,Loss,Equation
1,1.3346455e-9,"5.0717637e-5"
4,1.3006105e-9,"cos(javautilLinkedHashMap) * 5.5013454e-5"
5,7.932196e-10,"(input0 * 6.155797e-7) + 3.2097272e-5"
7,7.905239e-10,"((input0 + javautilconcurrentConcurrentHashMapcontainsValuejavalangObject) * 6.1613315e-7) + 3.196115e-5"
8,7.232294e-10,"((cos(javautilTreeMap) * 9.85617e-7) * input0) + 2.734026e-5"
9,7.188261e-10,"(((javautilconcurrentConcurrentHashMapcontainsValuejavalangObject * 4.3180637e-7) + 5.289153e-7) * input0) + 3.149636e-5"
11,7.1337564e-10,"((((javautilconcurrentConcurrentHashMapcontainsValuejavalangObject + javautilLinkedHashMapcontainsValuejavalangObject) + 1.2330989) * input0) * 4.3532262e-7) + 3.0301147e-5"
12,7.081439e-10,"2.734026e-5 + (((-0.38652933 * javautilHashtable) + cos(javautilTreeMap)) * (input0 * 9.85617e-7))"
13,7.058082e-10,"((((javautilconcurrentConcurrentHashMapcontainsValuejavalangObject + (javautilHashMap + javautilLinkedHashMap)) * 4.5735075e-7) + 5.3973184e-7) * input0) + 2.8799748e-5"
15,7.0410167e-10,"(((input0 * 5.1466736e-7) + -3.7632049e-6) * (javautilHashMap + ((javautilconcurrentConcurrentHashMap + ReturnTypevoid) + javautilLinkedHashMap))) + 3.4839068e-5"
19,6.9937117e-10,"((((javautilLinkedHashMap + javautilHashMap) + (javautilconcurrentConcurrentHashMap + ReturnTypevoid)) * 2.379047e-6) * ((input0 * 0.21651708) + (javalangDouble + -2.0979848))) + 3.5825793e-5"
21,6.9648287e-10,"(((((javautilLinkedHashMap + javautilLinkedHashMap) + javautilHashMap) + (javautilconcurrentConcurrentHashMap + ReturnTypevoid)) * 3.8591147e-6) * ((input0 * 0.13310008) + (javalangDouble + -1.6117674))) + 3.7570382e-5"
22,6.9618505e-10,"((((input0 * 0.12426785) + -1.4046408) + sin(javalangDouble)) * ((((javautilLinkedHashMap + ReturnTypevoid) + javautilconcurrentConcurrentHashMap) + (javautilLinkedHashMapcontainsValuejavalangObject + javautilHashMap)) * 4.14231e-6)) + 3.693375e-5"
24,6.906554e-10,"((((sin((input0 * 0.3124188) + -1.7054846) + (input0 * 0.19122714)) + -1.7490914) * ((ReturnTypevoid + (javautilconcurrentConcurrentHashMap + javautilHashMap)) + javautilLinkedHashMapcontainsValuejavalangObject)) * 2.704023e-6) + 3.6177862e-5"
26,6.897045e-10,"(((((input0 * 0.19122714) + -1.7490914) + sin((input0 * 0.3124188) + -1.58479)) * ((javautilconcurrentConcurrentHashMap + (ReturnTypevoid + javautilHashMap)) + (javautilLinkedHashMap * 1.2263346))) * 2.7087494e-6) + 3.6074634e-5"
27,6.891636e-10,"(((sin((input0 * 0.3124188) + -1.58479) + (-1.7490914 + (input0 * 0.19122714))) * ((javautilconcurrentConcurrentHashMap + (ReturnTypevoid + javautilHashMap)) + (javautilLinkedHashMap * exp(0.44090062)))) * 2.7087494e-6) + 3.6074634e-5"
