Complexity,Loss,Equation
1,6.386146e-10,"4.0483163e-5"
4,6.0296274e-10,"log(input0) * 7.4383206e-6"
6,5.8259764e-10,"(javautilconcurrentCopyOnWriteArrayList + log(input0)) * 7.223309e-6"
8,5.8069893e-10,"(javautilconcurrentCopyOnWriteArrayList + (log(input0) * 0.701844)) * 1.0128937e-5"
10,5.792791e-10,"(log(input0) + (javautilconcurrentCopyOnWriteArrayList + (javautilArrayList * -0.5761281))) * 7.4195814e-6"
12,5.7912497e-10,"(log(input0) + javautilconcurrentCopyOnWriteArrayList) * (((javautilArrayList + -0.024859183) * -7.266248e-7) + 7.4102386e-6)"
14,5.7826915e-10,"(((javautilconcurrentCopyOnWriteArrayList * 1.4787986) + (log(input0) + (javautilArrayList * -0.378765))) * 8.025136e-6) + -4.6935634e-6"
16,5.7758875e-10,"(javautilconcurrentCopyOnWriteArrayList + log(input0)) * (((javautilconcurrentCopyOnWriteArrayList * 5.770203e-7) + 7.264245e-6) + ((javautilArrayList + -0.014765944) * -5.71218e-7))"
19,5.775887e-10,"(log(input0) + javautilconcurrentCopyOnWriteArrayList) * ((sin(sin(sin((javautilArrayList + -0.019297676) * -5.698511e-7))) + 7.260982e-6) + (javautilconcurrentCopyOnWriteArrayList * 5.7726965e-7))"
25,5.756331e-10,"7.4227783e-6 * (log(input0) + (sin(javautilArrayList * sin((sin(((sin(input0) + javautilconcurrentCopyOnWriteArrayList) + -1.078288) * javautilArrayList) + -0.48713514) + log(input0))) + javautilconcurrentCopyOnWriteArrayList))"
28,5.7550187e-10,"7.4227783e-6 * (log(input0) + ((javautilArrayList * sin(((sin(javautilconcurrentCopyOnWriteArrayList + (sin(input0) + (-1.078288 * javautilArrayList))) * (javautilArrayList * javautilArrayList)) + -0.48713514) + log(input0))) + javautilconcurrentCopyOnWriteArrayList))"
29,5.754497e-10,"((javautilconcurrentCopyOnWriteArrayList + log(input0)) + sin(sin(javautilArrayList * ((((sin(javautilconcurrentCopyOnWriteArrayList + ((sin(input0) + -0.46355182) * javautilArrayList)) * javautilArrayList) * javautilArrayList) + -0.6475271) + log(input0))))) * 7.387054e-6"
30,5.7541755e-10,"(log(input0) + ((javautilArrayList * sin(sin(((sin(sin(javautilArrayList * -1.078288) + (javautilconcurrentCopyOnWriteArrayList + sin(input0))) * (javautilArrayList * javautilArrayList)) + -0.48713514) + log(input0)))) + javautilconcurrentCopyOnWriteArrayList)) * 7.4227783e-6"
