Complexity,Loss,Equation
1,4.8946885e-10,"4.2486332e-5"
5,4.6552812e-10,"(input0 * 1.5490876e-8) + 3.7433812e-5"
6,4.6446963e-10,"(log(input0) * 3.908765e-6) + 2.2226446e-5"
8,4.564475e-10,"((exp(javautilLinkedList) * 1.2551314e-8) * input0) + 3.6850466e-5"
9,4.5615534e-10,"(input0 * ((javautilLinkedList * 1.8899648e-8) + 1.381921e-8)) + 3.663368e-5"
10,4.5081897e-10,"((input0 * (exp(javautilconcurrentCopyOnWriteArrayListsetintjavalangObject) + javautilLinkedList)) * 1.7216244e-8) + 3.5137207e-5"
12,4.4446008e-10,"(input0 * ((exp(javautilconcurrentCopyOnWriteArrayList * 1.9116367) + javautilLinkedListsetintjavalangObject) * 1.8512926e-8)) + 3.3315566e-5"
13,4.440208e-10,"(input0 * (((javautilLinkedListsetintjavalangObject * 2.2205716e-8) + 1.7613429e-8) + (javautilconcurrentCopyOnWriteArrayList * 1.0348195e-7))) + 3.3398126e-5"
16,4.4221987e-10,"(((exp((javautilArrayListsetintjavalangObject * 0.38073575) + javautilLinkedListsetintjavalangObject) * 1.4787424e-8) + (javautilconcurrentCopyOnWriteArrayListsetintjavalangObject * 1.0684361e-7)) * input0) + 3.3329205e-5"
17,4.409351e-10,"((javautilArrayListsetintjavalangObject * 4.9044024e-6) + 3.2195883e-5) + ((input0 * 1.06411285e-7) * (javautilconcurrentCopyOnWriteArrayList + ((javautilLinkedList + 0.5390612) * 0.2756097)))"
19,4.4008122e-10,"(((((javautilLinkedList * 2.2030429e-8) + 3.5587238e-8) * exp(cos(javautilVectorsetintjavalangObject + javalangShort))) * input0) * (javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + 0.2798499)) + 3.3154844e-5"
21,4.3946327e-10,"((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + 0.268641) * ((((javautilLinkedList * 4.2811088e-8) + 7.33153e-8) * (cos(javautilVectorsetintjavalangObject) * (cos(javalangShort) + 0.4022351))) * input0)) + 3.3082964e-5"
22,4.3806916e-10,"(((((cos(javautilVectorsetintjavalangObject * cos(javalangDouble)) * 1.0267821e-7) * cos(javalangShort)) + (javautilLinkedList * 5.6998488e-8)) * (javautilconcurrentCopyOnWriteArrayList + 0.27486986)) * input0) + 3.2983175e-5"
24,4.3784007e-10,"((((javautilconcurrentCopyOnWriteArrayList + 0.27486986) * cos(javautilVectorsetintjavalangObject * cos(javalangDouble))) * ((javautilLinkedList * 5.672887e-8) + ((cos(javalangShort) + 0.41983995) * 7.114848e-8))) * input0) + 3.2832522e-5"
27,4.378042e-10,"(input0 * sin(((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + 0.27606636) * ((javautilLinkedList * 5.6969252e-8) + ((cos(javalangShort) + 0.4371473) * 6.872342e-8))) * cos(cos(javalangDouble * -1.9980931) * javautilVectorsetintjavalangObject))) + 3.296416e-5"
28,4.37122e-10,"(((javautilconcurrentCopyOnWriteArrayList + 0.2511885) * (cos(javautilVectorsetintjavalangObject * cos((input0 + 0.85793394) * javalangDouble)) * (cos(javalangShort) + 0.6056595))) * (((javautilLinkedList * 4.263482e-8) + 6.686549e-8) * input0)) + 3.283773e-5"
29,4.3677256e-10,"((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + 0.27606636) * (((javautilLinkedList * 4.1386016e-8) + 6.924118e-8) * (cos(cos(javalangDouble * (log(input0) + 0.5268747)) * javautilVectorsetintjavalangObject) * ((cos(javalangShort) + 0.4371473) * input0)))) + 3.2963977e-5"
30,4.367686e-10,"((javautilconcurrentCopyOnWriteArrayListsetintjavalangObject + 0.27606636) * (((javautilLinkedList * 4.1386016e-8) + 6.924118e-8) * ((cos(cos(javalangDouble * (log(input0) + cos(1.011848))) * javautilVectorsetintjavalangObject) * (cos(javalangShort) + 0.4371473)) * input0))) + 3.2963977e-5"
