Complexity,Loss,Equation
1,985.42377,"11.37361"
3,796.6215,"input0 * 2.56553"
4,114.79567,"exp(input0 + -6.4641867)"
5,17.598959,"exp(exp(input0 + -9.46162))"
6,15.6529255,"exp((input0 + -9.133306) * 2.4944384)"
8,15.6529045,"exp((input0 + -9.133306) * 2.4944384) + 0.003643311"
10,15.65288,"exp((input0 + -9.134662) * 2.4962034) + (input0 * 0.0014246595)"
12,15.652865,"((input0 * 0.00024276925) * input0) + exp((input0 + -9.135782) * 2.4976315)"
15,15.652861,"exp((input0 + -9.13461) * 2.4961593) + ((sin(input0 * -0.5053353) + 0.6602716) * 0.010097949)"
17,15.652853,"((input0 * 0.0015675888) * (sin(input0 * -0.50533426) + 0.6602723)) + exp((input0 + -9.135762) * 2.4976401)"
21,15.65285,"exp((input0 + -9.135787) * 2.49764) + (((sin(input0 * -0.45124102) + 0.6602723) * ((input0 + 0.6602723) * -0.43608266)) * -0.0033664252)"
24,15.652848,"exp((input0 + -9.135738) * 2.4976327) + (((input0 * 0.05994906) + sin(-0.50533426 * input0)) * ((0.6602723 + sin(input0 * -0.50533426)) * 0.010112946))"
25,15.652845,"(((input0 * sin(0.05994906)) + sin(-0.50533426 * input0)) * (0.010112946 * (0.6602723 + sin(input0 * -0.50533426)))) + exp((input0 + -9.135738) * 2.4976327)"
