Complexity,Loss,Equation
1,7711.664,"93.29106"
3,984.77454,"input0 * 0.0187966"
5,6.8425865,"(input0 * 2.1237354e-6) * input0"
6,6.8372564,"sin(input0 * 2.1238989e-6) * input0"
7,5.7846227,"((input0 * 2.0581724e-6) + 0.0006180704) * input0"
8,5.78448,"sin((input0 * 2.0593527e-6) + 0.0006085703) * input0"
9,5.755014,"(input0 * ((input0 * 2.0463413e-6) + 0.0007832244)) + -0.47040874"
12,5.6919203,"sin(input0 * 0.1551375) + (((input0 * 2.053908e-6) + 0.00064941135) * input0)"
13,5.646447,"sin(sin(input0 * 0.1551375)) + (((input0 * 2.053908e-6) + 0.00064941135) * input0)"
14,5.640394,"(((input0 * 2.0457378e-6) + 0.0007879981) * input0) + (cos(input0 * -0.61263394) + -0.50818616)"
15,5.544582,"sin(cos(input0 * -0.61263233) + -0.8439912) + (((input0 * 2.04508e-6) + 0.0008046537) * input0)"
16,5.5395737,"(input0 * ((input0 * 2.0445934e-6) + 0.0007890884)) + sin(sin(-0.77160865 + cos(-0.35189217 * input0)))"
17,5.5368395,"(input0 * ((input0 * 2.0462853e-6) + 0.00079229084)) + sin(cos((input0 * -0.61261904) + -0.18132254) + -0.7641906)"
18,5.5173936,"(((input0 * 2.0459124e-6) + 0.0008046537) * input0) + ((cos(input0 * (input0 * -2.0183651)) + 0.66448545) * -0.8439912)"
19,5.4983993,"(((input0 * 2.0454843e-6) + 0.0007879981) * input0) + sin(sin(cos(input0) + -1.105185) + cos(-0.61263394 * input0))"
20,5.4703274,"(((input0 * 2.0458479e-6) + 0.00079524395) * input0) + ((cos(input0) * 0.39752877) + sin(cos(input0 * -0.6126333) + -0.77160865))"
21,5.462826,"((cos(input0) * 0.39752877) + sin(sin(cos(input0 * -0.61263376) + -0.77160865))) + (((input0 * 2.0454843e-6) + 0.0007899421) * input0)"
22,5.39717,"(input0 * ((input0 * 2.0445934e-6) + 0.0007890884)) + sin(cos(input0 * -0.35189217) + (sin((input0 * -0.6126279) + 1.1408551) + -0.77160865))"
24,5.396991,"sin((cos((input0 * -0.35189217) + ThreadUsage) + sin((input0 * -0.6126279) + 1.1408551)) + -0.77160865) + (input0 * ((input0 * 2.0442787e-6) + 0.0007890884))"
25,5.3705206,"(input0 * ((input0 * 2.0454147e-6) + 0.00077464717)) + sin((cos(input0 * (ThreadUsage + -0.35192472)) + sin((input0 * -0.61255026) + cos(VariableDeclarationsDepth0))) + -0.7716088)"
30,5.275584,"cos((0.52364683 * (input0 + ImportsUsed)) + cos((input0 * cos(0.82436925)) + -0.77160865)) + (sin(cos(input0 * -0.6126331) + -0.77160865) + ((0.00079862337 + (input0 * 2.0449236e-6)) * input0))"
