Complexity,Loss,Equation
1,1.2192133e-9,"4.9413327e-5"
4,1.2132166e-9,"log(input3) * 6.480062e-6"
5,1.1764019e-9,"(input3 * 3.8291037e-9) + 3.912781e-5"
7,1.1760545e-9,"(MethodInvocationsDepth0 + (input3 * 3.783538e-9)) + -0.99996066"
8,1.1327136e-9,"cos(cos(log(input3) * -1.2504991)) * 6.5554406e-5"
10,1.1301912e-9,"(cos(cos(log(input3) * -1.2605565)) * 5.9947368e-5) + 3.8074838e-6"
12,1.130179e-9,"(cos(cos((log(input3) + -0.008357293) * -1.2605565)) * 5.9947368e-5) + 3.8074838e-6"
13,1.1103446e-9,"cos(cos(exp(cos((log(input3) + log(input3)) + 0.59314126)))) * 6.6203706e-5"
15,1.1090525e-9,"(cos(cos(exp(cos(log(input3) + (log(input3) + 0.5953344))))) * 7.402772e-5) + -6.082809e-6"
20,1.1065135e-9,"((cos(cos(log(input3) + 0.47329214)) * -8.111592e-5) + 0.00013280737) * cos(cos(cos((sin(int) * input1) + 0.47329214)))"
22,1.0690453e-9,"cos(cos(cos(log(input3) + 0.46035424))) * (cos(cos(cos(((input1 + log(input1)) + 1.0058975) * log(double)))) * 0.000100575206)"
23,1.0682867e-9,"((cos(cos(log(input3) + 0.47329214)) * -8.7961314e-5) + 0.00013960732) * cos(cos(cos(log(double) * ((ImportsUsed + log(input1)) + input1))))"
24,1.0662595e-9,"((cos(cos(cos(log(input3) + 0.4495808))) * 0.00012308604) + -1.5769332e-5) * cos(cos(cos(log(double) * (log(input1) + (input1 + 1.0562171)))))"
25,1.06009e-9,"(cos(cos(cos(log(double) * (log(input1) + (input1 + 1.0422666))) + -0.13187133)) * 0.000110995694) * sin(cos(cos(cos(log(input3) + 0.4134109))))"
26,1.0508345e-9,"((cos(cos(cos(log(input3) + 0.4134109))) * 0.00012605666) + -1.7635839e-5) * cos(cos(cos((log(input1) + (input1 + 1.0422666)) * log(double)) + -0.13744508))"
