Complexity,Loss,Equation
1,8.741104e-10,"4.81814e-5"
4,8.543031e-10,"log(input1) * 6.37261e-6"
5,8.4523455e-10,"(input1 * 3.1511547e-9) + 4.0014413e-5"
7,8.3358487e-10,"((input3 + input1) * 2.3384668e-9) + 3.5765628e-5"
9,8.3358476e-10,"(((input3 + -1.140952) + input1) * 2.3384668e-9) + 3.5765628e-5"
10,8.335747e-10,"(((sin(input1) + input3) + input1) * 2.3384668e-9) + 3.5765628e-5"
11,8.2786267e-10,"(CustomObjectWithCustomMethod + (sin(input2 * 1.3149127) + log(input1))) * 5.7152743e-6"
12,8.2782575e-10,"(sin(1.3149127) + (sin(input2 * 1.3149127) + log(input1))) * 5.7152743e-6"
13,8.1577767e-10,"((log(input1) + sin(input2 * 1.3149109)) * 5.654206e-6) + (input3 * 2.1179276e-9)"
15,8.039061e-10,"(sin((input4 + 0.03399366) * input2) + ((input3 * 0.00035104432) + log(input1))) * 5.7042726e-6"
17,8.0135437e-10,"(log(input1) + (sin(((input4 + 0.033993226) * input2) + 1.9877697) + (input3 * 0.00033300574))) * 5.711063e-6"
18,7.9414636e-10,"(((sin(input2 * (input4 + 0.033993542)) + sin(input1)) + (input3 * 0.0004260315)) + log(input1)) * 5.5272053e-6"
20,7.799353e-10,"((input3 * 0.00034486203) + ((log(input1) + sin(input2 * 1.3149109)) + sin((input4 + 0.033993226) * input2))) * 5.7059847e-6"
21,7.798541e-10,"((input3 * 0.00034486447) + ((sin(input2 * (input4 + 0.033993226)) + sin(input2 * 1.3149109)) + log(input1))) * sin(5.739222e-6)"
22,7.780601e-10,"((input3 * 0.00034486447) + (sin(input2 * 1.3149109) + (log(input1) + sin((input2 * (input4 + 0.033993226)) + double)))) * 5.739222e-6"
23,7.695602e-10,"((sin(input1) + (log(input1) + sin(input2 * (input4 + 0.033993233)))) + (sin(input2 * 1.3149117) + (input3 * 0.0003473875))) * 5.717179e-6"
24,7.6950135e-10,"(sin(sin(input1)) + (log(input1) + ((0.00034486203 * input3) + (sin(input2 * (input4 + 0.033993226)) + sin(1.3149109 * input2))))) * 5.7059847e-6"
26,7.622817e-10,"5.7059847e-6 * ((exp(sin(1.3149109 * input2)) * (5.7059847e-6 + sin(input1))) + ((log(input1) + sin(input2 * (input4 + 0.033993226))) + (0.00034486203 * input3)))"
27,7.573262e-10,"5.7059847e-6 * ((exp(sin(1.3149109 * input2)) * (cos(1.3697835) + sin(input1))) + ((log(input1) + sin(input2 * (input4 + 0.033993226))) + (0.00034486203 * input3)))"
28,7.559252e-10,"((exp(sin((input2 * 1.3149109) + 0.18408434)) * (sin(input1) + 0.15233159)) + ((sin(input2 * (input4 + 0.033993226)) + log(input1)) + (input3 * 0.0003448652))) * 5.5772502e-6"
