Complexity,Loss,Equation
1,8.5699675e-10,"4.8204976e-5"
4,8.2458523e-10,"log(input3) * 6.3849448e-6"
5,7.933872e-10,"(input3 * 4.3724446e-9) + 3.671646e-5"
7,7.815184e-10,"((input3 + input1) * 3.2697949e-9) + 3.130195e-5"
9,7.7787893e-10,"(input1 * 2.2261744e-9) + ((input3 * 4.160266e-9) + 3.1538286e-5)"
10,7.7784007e-10,"(((input1 * cos(0.98310053)) + input3) * 4.160266e-9) + 3.1538286e-5"
11,7.772517e-10,"(cos(sin(input3 + -0.5774165)) * (input3 * 6.779789e-9)) + 3.5226294e-5"
12,7.7464174e-10,"cos(sin(sin(input1 * -1.9138292))) * ((input3 * 5.6929994e-9) + 4.4083143e-5)"
15,7.5599016e-10,"((input3 * cos(sin(cos(log(input3)) + (input1 * -1.4074463)))) * 6.7778525e-9) + 3.498918e-5"
17,7.238249e-10,"((input3 * 6.123194e-9) + 4.66963e-5) * cos(sin(cos(log(input3) * 2.5043573) + (input1 * -1.4074463)))"
19,7.199913e-10,"(cos(sin(cos(log(input3) * 2.5043573) + (input1 * -1.4074463))) * ((input3 * 6.5987313e-9) + 2.6542262e-5)) + 1.4648999e-5"
20,7.1986184e-10,"(cos(sin(cos(log(input3) * 2.5160246) + (input1 * -1.4074463))) * ((input3 * 6.5987313e-9) + 2.6542262e-5)) + sin(1.4648999e-5)"
21,7.1943024e-10,"(((input3 * 6.675147e-9) + 2.950673e-5) * cos(sin((cos(log(input3) * 2.5043573) + ThreadUsage) + (input1 * -1.4074463)))) + 1.21967805e-5"
23,7.1749234e-10,"(cos(sin((input1 * -1.4074463) + ((input3 * 1.4467123e-5) + cos(log(input3) * 2.5043573)))) * ((input3 * 6.7605503e-9) + 3.122038e-5)) + 1.1004799e-5"
26,7.1479894e-10,"(((input3 * 6.6674772e-9) + 2.6542262e-5) * cos(sin(sin(cos((log(input3) + ((input3 * input3) * 8.080941e-9)) * 2.5043573)) + (input1 * -1.4074463)))) + 1.4648999e-5"
29,7.139803e-10,"(((input3 * 6.6674772e-9) + 2.6542262e-5) * cos(sin((input1 * -1.4074463) + cos((log(input3) + sin(input3 * sin(1.9039524 * (input3 * 6.7778467e-9)))) * 2.5043573)))) + 1.4648999e-5"
