Complexity,Loss,Equation
1,6.6883295e-8,"0.00034574128"
3,5.0929067e-8,"input1 * 4.5578423e-7"
4,4.5379068e-8,"cos(javautilconcurrentCopyOnWriteArrayList) * 0.0004148712"
5,3.6802145e-8,"(javautilconcurrentCopyOnWriteArrayListaddAlljavautilCollection * -0.00039793164) + 0.00044720861"
9,2.7766234e-8,"exp(exp(input1 * -0.0050081224) * -2.5500717) * 0.00056009897"
11,2.4905628e-8,"exp((javautilconcurrentCopyOnWriteArrayList + exp(input1 * -0.002806105)) * -1.2852309) * 0.00059798465"
12,1.8560788e-8,"exp(exp((input1 * exp(javautilLinkedListaddAlljavautilCollection)) * -0.0023611041) * -2.432846) * 0.00064577244"
13,1.8546412e-8,"sin(exp(exp((input1 * -0.0023025316) * exp(javautilLinkedListaddAlljavautilCollection)) * -2.432846) * 0.00064577244)"
15,1.8254081e-8,"0.00064577244 * exp(-2.432846 * exp(input1 * ((-0.0024211595 * cos(javautilconcurrentCopyOnWriteArrayList)) * exp(javautilLinkedListaddAlljavautilCollection))))"
16,1.824463e-8,"0.00064577244 * exp((cos(javautilLinkedListaddAlljavautilCollection) * exp((input1 * -0.0024211595) * exp(sin(javautilLinkedList)))) * -2.432846)"
17,1.7657621e-8,"exp((javautilconcurrentCopyOnWriteArrayListaddAlljavautilCollection * -1.6867834) + exp(exp((exp(javautilLinkedListaddAlljavautilCollection) * -0.0022542316) * input1) * -4.0487165)) * 0.00024865445"
18,1.6875157e-8,"exp(exp((javautilconcurrentCopyOnWriteArrayListaddAlljavautilCollection * -2.704664) + exp(exp((exp(javautilLinkedListaddAlljavautilCollection) * -0.0018599167) * input1) * -1.1415118))) * 4.7752415e-5"
19,1.6741417e-8,"exp(exp(exp(exp((exp(javautilLinkedList) * input1) * -0.0015101201) * (exp(javautilconcurrentCopyOnWriteArrayList) * -0.2188346)) + 1.1004748)) * 2.0136778e-7"
20,1.4135764e-8,"exp(exp(exp(exp(input1 * -0.0051794243) * -1.4861324)) + ((javautilLinkedListaddAlljavautilCollection + -1.0452403) * exp(input0 * -0.001029426))) * 5.2515978e-5"
22,1.3927544e-8,"exp(exp(exp(exp(input1 * -0.0049641454) * -1.3645662)) + (exp(input0 * -0.0008548573) * (javautilLinkedListaddAlljavautilCollection + -1.092363))) * (CyclomaticComplexity * 5.5845394e-5)"
25,1.3234296e-8,"exp(exp(exp(exp(cos(exp(javautilLinkedList) * (input0 * 0.0011325782))) * (exp(exp(javautilLinkedList) * (input1 * -0.0017795131)) * -0.13864213)) + 1.3488258)) * 2.0015387e-8"
