Complexity,Loss,Equation
1,1939.9087,"31.379927"
3,1533.5493,"input0 * 2.2891312"
4,392.79367,"exp(input0) * 1.7490551e-7"
6,21.4043,"exp((input0 + -11.548688) * 0.5528197)"
8,16.306007,"exp((input0 + -10.805588) * 0.51315534) + -4.0831466"
10,16.290329,"exp(((input0 + -16.984512) * 0.51579344) + 3.1619177) + -4.0064225"
11,11.786158,"exp((input0 + cos((input0 + 44.368206) * -0.5150743)) + -15.161486)"
13,11.39007,"exp((cos((input0 + -16.894491) * -0.50573623) + -15.324383) + input0) + 0.9999923"
15,11.353104,"int + (exp((cos((input0 + -16.87321) * 0.5078465) + -16.710205) + input0) * 4.05469)"
16,11.287282,"(exp((cos((input0 + -16.83513) * 0.50977856) + -16.283129) + input0) * exp(CyclomaticComplexity)) + 0.75094944"
19,11.036743,"(exp(input0 + (cos((input0 + -16.88507) * 0.50025606) + -16.69119)) * 3.8566964) + (cos(exp(input0)) + 1.2346122)"
20,10.911646,"(exp((input0 + cos((input0 + -16.885067) * (MethodInvocationsDepth0 * 0.50015))) + -16.691124) * 3.8567128) + exp(cos(exp(input0)))"
21,10.82554,"((exp((cos((input0 + -16.885197) * 0.49969995) + -16.69068) + input0) * 3.8567348) + cos(exp(1.01133 + input0))) + 1.2678744"
22,10.739767,"(exp(MethodInvocationsDepth0 * ((cos((input0 + -16.885197) * 0.49969995) + -16.69068) + input0)) * 3.8567348) + exp(cos(exp(input0) + 1.9532894))"
24,10.733336,"(((MethodInvocationsDepth0 * exp((cos((input0 + -16.885197) * 0.49969995) + -16.69068) + input0)) * 3.8567348) + exp(cos(exp(input0) + 1.9532894))) + -0.091143526"
30,10.704824,"(((exp(ReturnTypevoid) * exp((cos(0.5088351 * (input0 + -16.912373)) + -16.321354) + input0)) + sin(exp(cos(0.92523444 + input0)))) + sin(exp(0.92523444 + cos(input0)))) + LoopCount"
