Complexity,Loss,Equation
1,3.922816e-10,"3.5000634e-5"
4,2.1806629e-10,"log(input0) * 1.4055391e-5"
6,2.1806623e-10,"(log(input0) + 1.4055391e-5) * 1.4055391e-5"
8,2.1662244e-10,"((javautilHashtableentrySet * 0.05403085) + log(input0)) * 1.4055391e-5"
9,2.1016594e-10,"cos(exp((input0 * -0.07181657) + 0.47717926)) * 4.8649716e-5"
11,2.0552672e-10,"cos(exp(((input0 + javautilHashtableentrySet) * -0.07686789) + 0.5260278)) * 4.8421247e-5"
13,2.0247073e-10,"cos(exp((input0 * -0.07686789) + ((javautilHashtable * -0.2009474) + 0.548617))) * 4.835121e-5"
14,2.0244505e-10,"cos(exp((input0 * -0.07653901) + cos((javautilHashtable * 0.23849793) + 0.99008715))) * 4.8424106e-5"
16,2.0242422e-10,"cos(exp(((input0 * -0.07653901) + cos((javautilHashtable * 0.23849793) + 0.99008715)) * 0.9830425)) * 4.8424106e-5"
17,2.0016928e-10,"((javautilTreeMapentrySet * -0.07293841) + cos(exp((javautilHashtable * -0.18265407) + ((input0 * -0.07293841) + 0.5348258)))) * 4.9925606e-5"
20,1.9969998e-10,"(cos(exp((-0.17302354 * javautilHashtable) + ((-0.071979135 * (javautilTreeMap + input0)) + cos(ReturnTypevoid)))) + (javautilTreeMapentrySet * -0.094787344)) * 5.012285e-5"
22,1.9962618e-10,"(cos(exp(cos(ImportsUsed) + ((javautilTreeMapentrySet + input0) * -0.07293841)) * ((javautilHashtable * -0.17302354) + ReturnTypevoid)) + (javautilTreeMapentrySet * -0.094787344)) * 5.0155373e-5"
23,1.9824413e-10,"((javautilTreeMapentrySet * -0.094787344) + cos(exp(((javautilHashtable * -0.17302354) + ((input0 + cos(input0 * 0.5761289)) * -0.07307017)) + cos(ReturnTypevoid)))) * 5.012285e-5"
25,1.9735812e-10,"((javautilTreeMapentrySet * -0.094787344) + ReturnTypevoid) * (5.0439096e-5 * cos(exp((-0.17302354 * javautilHashtable) + (((input0 + cos(input0 * -0.5848929)) * -0.07307017) + cos(ReturnTypevoid)))))"
29,1.9623629e-10,"(((javautilTreeMapentrySet * -0.094787344) + ReturnTypevoid) * cos(exp(((javautilHashtable * -0.17302354) + cos(ReturnTypevoid)) + ((input0 + cos(0.5761289 * (input0 + cos(exp(javautilHashtable))))) * -0.07307017)))) * 5.012285e-5"
