Complexity,Loss,Equation
1,4.1715992e-10,"3.4656216e-5"
4,2.3836483e-10,"log(input0) * 1.4164565e-5"
6,2.3833036e-10,"(log(input0) * 1.4350332e-5) + -5.200033e-7"
8,2.3472815e-10,"log(input0) * ((javautilLinkedHashMapvalues * -1.6459933e-6) + 1.4602554e-5)"
10,2.3380478e-10,"(log(input0) * 1.4609137e-5) + (input0 * (javautilLinkedHashMapvalues * -1.7643048e-7))"
11,2.3189672e-10,"(sin(sin(sin(log(input0) + 1.1808872))) * -2.7125065e-5) + 2.712099e-5"
12,2.3159881e-10,"log(input0) * (1.1120839e-5 + (sin(log(input0) + -1.2840157) * 3.9204433e-6))"
14,2.3095074e-10,"(sin((log(input0) + javautilHashtable) + 1.3725581) * -6.6048624e-6) + (log(input0) * 1.26087025e-5)"
15,2.2923623e-10,"(log(input0) * 1.3696375e-5) + (sin((log(input0) + log(input0)) + -0.7655474) * -4.6763726e-6)"
16,2.2682639e-10,"(sin(javautilLinkedHashMap + (1.472367 * (javautilHashtablevalues + log(input0)))) * -5.119173e-6) + (log(input0) * 1.3676675e-5)"
17,2.2679539e-10,"(-5.408534e-6 * sin(log(input0) + (log(input0) + (javautilLinkedHashMap + -1.0508301)))) + (1.4043924e-5 * log(input0))"
18,2.2496748e-10,"(sin((javautilLinkedHashMap + 1.2695365) * ((javautilHashtable + javautilHashtablevalues) + log(input0))) * -5.408534e-6) + (log(input0) * 1.4043924e-5)"
19,2.2407817e-10,"(log(input0) * 1.388811e-5) + (-5.6190624e-6 * sin(javautilHashtable + ((javautilHashtablevalues + log(input0)) * (sin(javautilLinkedHashMap) + 1.3001873))))"
21,2.228456e-10,"(sin((javautilHashtable + javautilconcurrentConcurrentHashMap) + ((javautilHashtablevalues + log(input0)) * (sin(javautilLinkedHashMap) + 1.3001873))) * -5.6190624e-6) + (log(input0) * 1.388811e-5)"
22,2.2251534e-10,"(log(input0) * 1.3809579e-5) + (sin((javautilHashtable + sin(javautilconcurrentConcurrentHashMap)) + ((javautilHashtable + log(input0)) * (sin(javautilLinkedHashMap) + 1.299639))) * -5.841973e-6)"
23,2.2249123e-10,"sin(log(input0) * 1.3812323e-5) + (sin((javautilHashtable + ((sin(javautilLinkedHashMap) + 1.2890749) * (javautilHashtablevalues + log(input0)))) + sin(javautilconcurrentConcurrentHashMap)) * -5.8419178e-6)"
24,2.2201471e-10,"((log(input0) * 1.3067566e-5) + (sin((javautilHashtable + ((sin(javautilLinkedHashMap) + 1.2684567) * (javautilHashtablevalues + log(input0)))) + sin(javautilconcurrentConcurrentHashMap)) * -6.1224173e-6)) + 2.0515708e-6"
27,2.200904e-10,"(sin((sin(javautilHashtable * (log(input0) + 1.999527)) + (javautilHashtable + (log(input0) + javautilHashtablevalues))) * (sin(javautilLinkedHashMap) + 1.451852)) * -6.0869397e-6) + (log(input0) * 1.3633557e-5)"
28,2.2002934e-10,"(log(input0) * 1.3631444e-5) + sin(sin(((javautilHashtablevalues + (log(input0) + (javautilHashtable * sin(log(input0) + 1.4710735)))) + javautilHashtable) * (sin(javautilLinkedHashMap) + 1.4482168)) * -6.2947156e-6)"
29,2.1933741e-10,"(log(input0) * 1.3630699e-5) + (sin(((javautilHashtablevalues + (log(input0) + (javautilHashtable * sin(log(input0) + 1.4710735)))) + javautilHashtable) * (sin(javautilLinkedHashMap + 0.14485139) + 1.2908432)) * -6.33335e-6)"
30,2.1925904e-10,"(log(input0) * 1.36225235e-5) + (sin(sin((javautilHashtablevalues + ((log(input0) + (javautilHashtable * sin(log(input0) + 1.4710735))) + javautilHashtable)) * (sin(javautilLinkedHashMap + 0.14485139) + 1.2908432))) * -7.2182306e-6)"
