Complexity,Loss,Equation
1,5.8879554e-8,"0.000322558"
3,4.3679762e-8,"input2 * 4.3239322e-7"
4,3.486957e-8,"log(input2) * 6.236894e-5"
5,2.9556787e-8,"(input2 * 2.933612e-7) + 0.00016266464"
6,2.6017755e-8,"(log(input2) * 0.00012529455) + -0.00037311696"
7,2.32569e-8,"(log(input2) * 1.0793209e-5) * log(input0)"
9,1.8588427e-8,"exp((log(input2) + javautilLinkedListaddAllintjavautilCollection) * 0.5780451) * 7.3897804e-6"
11,1.6261751e-8,"exp(((javautilLinkedListaddAllintjavautilCollection + -2.5592005) + log(input2)) * 0.5780451) * 3.7115205e-5"
13,1.4985433e-8,"((log(input0) * 1.7804625e-5) + (javautilLinkedList * 5.8896465e-5)) * (log(input2) + -2.8197122)"
14,1.3356628e-8,"((log(input2) * (log(input0) + (javautilLinkedListaddAllintjavautilCollection * 3.5180686))) * 1.526101e-6) * log(input2)"
16,1.2301135e-8,"(((log(input2) + -2.1414802) * 2.2351808e-6) * log(input2)) * (log(input0) + (javautilLinkedListaddAllintjavautilCollection * 4.2131023))"
18,1.17850565e-8,"(log(input2) + -2.5423074) * ((((log(input2) * javautilLinkedListaddAllintjavautilCollection) + log(input2)) + (input0 * 0.0033822584)) * 1.0880311e-5)"
20,1.1538265e-8,"(log(input2) + -1.1348838) * ((((log(input2) + (log(input2) * javautilLinkedListaddAllintjavautilCollection)) + (input0 * 0.003792204)) * 9.215462e-6) + -1.650048e-5)"
25,1.0602387e-8,"((((log(input0) * 2.0096645e-6) * (log(input2) + -3.629164)) + 1.11569925e-5) * ((log(input2) * javautilLinkedListaddAllintjavautilCollection) + log(input2))) + (VariableDeclarationsDepth0 + (input0 * 1.1374176e-7))"
