Complexity,Loss,Equation
1,2.3038618e-9,"6.8786816e-5"
3,1.3727094e-9,"input0 * 1.5271787e-7"
5,1.015343e-9,"(input0 * 1.0959362e-7) + 2.8445651e-5"
7,1.0148808e-9,"((javautilArrayListaddintjavalangObject + input0) * 1.0959239e-7) + 2.8416162e-5"
8,7.443076e-10,"((cos(javautilLinkedListaddintjavalangObject) * 1.345989e-7) * input0) + 2.6511489e-5"
10,7.307103e-10,"(((cos(javautilLinkedListaddintjavalangObject) + javautilconcurrentCopyOnWriteArrayList) * 1.3997997e-7) * input0) + 2.2813969e-5"
12,7.172422e-10,"((javautilconcurrentCopyOnWriteArrayList * 1.3930772e-5) + 1.9868035e-5) + ((cos(javautilLinkedListaddintjavalangObject) * input0) * 1.4481661e-7)"
14,7.051747e-10,"(((((javalangLong * 0.22119208) + javautilconcurrentCopyOnWriteArrayList) + cos(javautilLinkedListaddintjavalangObject)) * input0) * 1.3668917e-7) + 2.1980797e-5"
16,6.893877e-10,"(((((javalangLong * 0.22916341) + cos(javautilLinkedListaddintjavalangObject)) * input0) + 117.59761) + (javautilconcurrentCopyOnWriteArrayList * 114.71021)) * 1.4486021e-7"
18,6.8080025e-10,"((((javalangLong * 0.2675048) + cos(javautilLinkedList)) * input0) * 1.412421e-7) + (((javalangDouble + javautilconcurrentCopyOnWriteArrayList) * 1.2101256e-5) + 1.6652892e-5)"
20,6.769905e-10,"((((javalangLong * 0.23425944) + cos(javautilLinkedList)) * input0) + (((javautilconcurrentCopyOnWriteArrayList * 114.71021) + (javalangDouble * 51.66029)) + 114.71021)) * 1.431737e-7"
24,6.743094e-10,"((javautilconcurrentCopyOnWriteArrayList * 121.33343) + (((javautilLinkedListaddintjavalangObject + (javalangDouble * 3.3352032)) * 20.02068) + ((input0 * ((javalangLong * 0.24799526) + cos(javautilLinkedListaddintjavalangObject))) + 93.65421))) * 1.4557523e-7"
26,6.7211453e-10,"(((input0 + (javautilconcurrentCopyOnWriteArrayList * 124.25282)) * (((((javalangLong + cos(javautilLinkedList)) * 1.4512701e-6) * (input0 * cos(javautilLinkedList))) * 218.28319) + cos(javautilLinkedList))) + 185.5379) * 1.1310818e-7"
