Complexity,Loss,Equation
1,1.1768369e-9,"4.8753092e-5"
4,1.0651162e-9,"log(input0) * 8.638285e-6"
6,1.0336859e-9,"(log(input0) + javautilLinkedListaddjavalangObject) * 8.3120385e-6"
7,1.0232464e-9,"(javautilLinkedList * (input0 * 4.753173e-8)) + 4.3102507e-5"
8,1.0123545e-9,"((javautilLinkedListaddjavalangObject + 2.743457) * log(input0)) * 2.876824e-6"
9,1.0123543e-9,"log(input0) * (sin(javautilLinkedList * 2.870873e-6) + 7.893934e-6)"
10,9.726966e-10,"(log(input0) + (javautilLinkedListaddjavalangObject * (input0 * 0.004859102))) * 7.774838e-6"
11,9.698233e-10,"sin(((input0 * javautilLinkedList) * 5.832522e-9) + 7.783847e-6) * log(input0)"
12,9.570731e-10,"((javautilLinkedListaddjavalangObject * (input0 * 0.005459168)) + (javautilconcurrentCopyOnWriteArrayListaddjavalangObject + log(input0))) * 7.4458826e-6"
14,9.562157e-10,"((javautilconcurrentCopyOnWriteArrayListaddjavalangObject + 0.8298113) + log(input0)) * (((input0 * javautilLinkedList) * 5.55319e-9) + 6.5922095e-6)"
17,9.486956e-10,"((((input0 * 0.002227583) * exp(sin(log(input0)) + javalangLong)) * javautilLinkedListaddjavalangObject) + log(input0)) * 7.934355e-6"
19,9.429955e-10,"(log(input0) + (javalangDouble + (input0 * ((0.002222424 * exp(javalangLong + sin(log(input0)))) * javautilLinkedListaddjavalangObject)))) * 7.845456e-6"
20,9.429195e-10,"(log(input0) + (cos(javalangShort) + (((input0 * javautilLinkedListaddjavalangObject) * 0.002613636) * exp(javalangLong + sin(log(input0)))))) * 6.871521e-6"
21,9.2220687e-10,"(((exp(sin(log(input0)) + javalangLong) * (((javautilLinkedListaddjavalangObject * 0.0025348703) * input0) + javalangDouble)) + log(input0)) + javautilconcurrentCopyOnWriteArrayListaddjavalangObject) * 7.407349e-6"
23,9.218576e-10,"((((exp(sin(log(input0)) + javalangLong) + 0.09319751) * (((javautilLinkedListaddjavalangObject * input0) * 0.0024990828) + javalangDouble)) + log(input0)) + javautilconcurrentCopyOnWriteArrayListaddjavalangObject) * 7.3726396e-6"
25,9.215784e-10,"7.340979e-6 * ((javautilconcurrentCopyOnWriteArrayListaddjavalangObject + log(input0)) + ((exp(javalangLong + sin(log(input0))) + (-0.214068 * javautilVector)) * ((javautilLinkedListaddjavalangObject * (0.0025184802 * input0)) + javalangDouble)))"
26,9.20844e-10,"sin((log(input0) + (((javautilconcurrentCopyOnWriteArrayListaddjavalangObject + 0.42694628) + (exp(sin(log(input0)) + javalangLong) * ((javautilLinkedListaddjavalangObject * input0) * 0.002774404))) * (javalangDouble + 0.995567))) * 6.8336317e-6)"
27,9.1632724e-10,"(((javautilconcurrentCopyOnWriteArrayListaddjavalangObject + log(input0)) + (exp(sin(log(input0)) + javalangLong) * ((javautilLinkedListaddjavalangObject * ((javalangDouble + MethodInvocationsDepth0) * (input0 * 0.0024975545))) + javalangDouble))) + 0.032238875) * 7.211917e-6"
28,9.161736e-10,"sin(((((exp(javalangLong + sin(log(input0))) * (((javalangDouble + MethodInvocationsDepth0) * ((javautilLinkedListaddjavalangObject * 0.0026263678) * input0)) + javalangDouble)) + javautilconcurrentCopyOnWriteArrayListaddjavalangObject) + log(input0)) + 0.4836301) * 6.8307195e-6)"
