Complexity,Loss,Equation
1,7.488947e-10,"4.2131385e-5"
6,7.4314727e-10,"(sin(input0) * 3.5516462e-6) + 4.2215044e-5"
7,7.4274e-10,"(sin(sin(input0)) * 4.1478615e-6) + 4.2214713e-5"
8,7.14084e-10,"(-7.739528e-6 * sin(input0 * -0.81902814)) + 4.2258347e-5"
10,7.133005e-10,"(sin((input0 * -0.81902814) + 0.14046901) * -8.225028e-6) + 4.209734e-5"
12,7.133004e-10,"((sin((input0 * -0.81902814) + 0.14046901) * 3.0580835e-5) + -0.00015633422) * -0.26927805"
13,7.132169e-10,"((sin(sin((input0 * -0.81902814) + 0.14046901)) * -0.032116886) + 0.14000753) * 0.0002992798"
14,7.116184e-10,"(sin(sin(sin(input0 * -0.8190223) + (input0 * -0.8190223))) * -1.1452718e-5) + 4.2043666e-5"
15,6.838474e-10,"((sin((input0 * -0.81902814) + sin(input0 * 0.60066825)) * -0.03345219) + 0.14046901) * 0.0002989854"
20,6.8384426e-10,"sin(((sin(((-0.81902814 * input0) + sin(input0 * 0.60066825)) + sin(0.0002989854)) * -0.03345219) + 0.14046901) * sin(0.0002989854))"
22,6.836513e-10,"(((CustomObjectWithCustomMethod * (exp(input0 * -0.81902814) + sin((input0 * -0.81902814) + sin(input0 * 0.60066825)))) * -0.0334522) + 0.14046901) * 0.00030210672"
23,6.827909e-10,"((sin(CustomObjectWithCustomMethod * (((input0 * -0.81902814) + sin(input0 * cos(-0.92645967))) + sin(input0 * -0.92645967))) * -0.03345219) + 0.14046901) * 0.0002989854"
25,6.784333e-10,"(sin((sin(((sin(sin(ReturnTypevoid)) * input0) + (sin(input0) * -1.0134557)) * -1.7443029) * -1.0134542) + sin(input0 * -0.8190223)) * -1.2484501e-5) + 4.2584554e-5"
26,6.7769595e-10,"(sin(sin(input0 * -0.8190223) + (sin(((input0 * sin(sin(ReturnTypevoid))) + sin(sin(input0) * -1.2342027)) * -1.7443029) * -1.0134542)) * -1.2484501e-5) + 4.2584554e-5"
27,6.7482153e-10,"(sin((sin(((input0 * sin(sin(ReturnTypevoid))) + ((sin(input0) * -1.0134557) + -0.12872405)) * -1.7443029) * -1.0134542) + sin(input0 * -0.8190223)) * -1.2484501e-5) + 4.2584554e-5"
28,6.745348e-10,"(-1.2484501e-5 * sin(sin((-1.0134542 * sin((((input0 * sin(sin(ReturnTypevoid))) + (sin(input0) * -1.0134557)) * -1.7443029) + 0.14046893)) + sin(-0.8190223 * input0)))) + 4.2584554e-5"
30,6.7435446e-10,"((sin(sin(sin(input0 * -0.81902814) + (sin((((sin(input0) * -1.0134556) + (input0 * sin(sin(ReturnTypevoid)))) * -1.7442988) + 0.13352817) * -1.0134556))) * -0.041415755) + 0.14046901) * 0.00030308292"
