Complexity,Loss,Equation
1,6.1389466e-10,"4.3912005e-5"
5,5.7203847e-10,"(input0 * 1.10846585e-7) + 3.8529924e-5"
6,5.704967e-10,"(log(input0) * 4.8873585e-6) + 2.8520535e-5"
7,5.703439e-10,"sin((log(input0) * 4.881519e-6) + 6.2832136)"
8,5.6842925e-10,"((log(input0) + javautilTreeMapputjavalangObjectjavalangObject) * 5.5318555e-6) + 2.5374811e-5"
9,5.671461e-10,"(input0 * ((javalangDouble * 6.740336e-8) + 1.09207825e-7)) + 3.7901515e-5"
10,5.665183e-10,"(((input0 * 9.536039e-9) + 3.198428e-6) * log(input0)) + 3.1777436e-5"
11,5.659191e-10,"(input0 * (((javautilHashtable + javalangDouble) * 7.4122326e-8) + 1.10052106e-7)) + 3.755296e-5"
12,5.645484e-10,"(((javalangDouble * 7.3680646e-8) + 1.13302136e-7) * (input0 * exp(javautilTreeMapputjavalangObjectjavalangObject))) + 3.7119684e-5"
14,5.635401e-10,"((log(input0) * 7.2023095e-6) + 2.3311895e-5) + (sin(log(input0) + 0.7769442) * 6.354223e-6)"
16,5.6343213e-10,"((sin((log(input0) + 5.3624864) * 1.1878196) * 5.2476666e-6) + (log(input0) * 6.5150734e-6)) + 2.4638712e-5"
17,5.62219e-10,"(((sin(javautilTreeMapputjavalangObjectjavalangObject + (cos(log(input0)) + -2.7928333)) + -2.6210454) * log(input0)) * -1.675095e-6) + 2.9956578e-5"
18,5.6037464e-10,"3.097388e-5 + ((log(input0) * (sin((sin(javalangDouble) + cos(log(input0))) + 3.3149965) + -2.256094)) * -1.9045972e-6)"
19,5.5782484e-10,"(log(input0) * ((((javautilTreeMap + cos(log(input0))) + sin(javalangDouble * 0.60255283)) * 1.9021446e-6) + 4.75133e-6)) + 2.9570585e-5"
21,5.575654e-10,"((((javautilTreeMap + sin(cos(log(input0)) + ((javalangDouble * 0.5560161) + -5.7740145))) * 2.039965e-6) + 3.9921874e-6) * log(input0)) + 2.926638e-5"
24,5.5481536e-10,"((sin((cos(cos(javautilTreeMapputjavalangObjectjavalangObject) * log(input0)) + javautilHashtableputjavalangObjectjavalangObject) + ((javalangDouble * 0.5034397) + 3.184188)) + -2.256094) * (log(input0) * -2.1623978e-6)) + 2.8488468e-5"
26,5.5446775e-10,"(((sin(cos(cos(javautilTreeMapputjavalangObjectjavalangObject) * log(input0)) + ((cos(cos(javautilHashtableputjavalangObjectjavalangObject)) * (javautilHashtableputjavalangObjectjavalangObject + javalangDouble)) + 3.0649993)) + -2.11342) * -2.349637e-6) * log(input0)) + 2.9015711e-5"
28,5.535974e-10,"((sin(cos(log(input0) * cos(javautilTreeMapputjavalangObjectjavalangObject)) + ((javautilHashtableputjavalangObjectjavalangObject + (javalangDouble * exp(cos(input0 * -0.49278152)))) + 3.011437)) + -2.256094) * (log(input0) * -2.0455034e-6)) + 2.9829716e-5"
30,5.523336e-10,"(((-2.256094 + sin((((javalangDouble * exp(cos(input0 * -0.49278152))) + (cos(log(input0) * cos(javautilTreeMapputjavalangObjectjavalangObject)) + 3.3149965)) + javautilHashtableputjavalangObjectjavalangObject) + -0.35485494)) * log(input0)) * -2.2933064e-6) + 2.8844674e-5"
