Complexity,Loss,Equation
1,6.479478e-10,"4.3845386e-5"
5,4.7080656e-10,"(input0 * 1.1450285e-7) + 3.7296275e-5"
7,4.7069504e-10,"((javautilLinkedHashSetaddjavalangObject + input0) * 1.1468808e-7) + 3.7256425e-5"
8,4.646855e-10,"((exp(javautilLinkedHashSetaddjavalangObject) * 1.154734e-7) * input0) + 3.6127694e-5"
9,4.6460852e-10,"(input0 * ((javautilLinkedHashSet * 1.7895084e-7) + 1.1578225e-7)) + 3.622188e-5"
10,4.6413323e-10,"((input0 + -8.592798) * (exp(javautilLinkedHashSet) * 1.1522651e-7)) + 3.7569065e-5"
11,4.6227835e-10,"((input0 * 0.0013326097) + cos(cos(input0 * 0.010246667))) * 6.501209e-5"
12,4.5911924e-10,"((input0 * 0.0014252265) + cos(cos(sin(input0 * -0.011099916)))) * 6.36541e-5"
14,4.5789875e-10,"((input0 * 0.0017760984) + cos(sin(cos((input0 + input0) * 0.005281698)))) * 5.4179767e-5"
17,4.5436596e-10,"(cos(cos(cos(cos(javautilTreeSet) + ((input0 * 0.010835146) + 0.8397316)))) + (input0 * 0.0016519182)) * 5.9234204e-5"
18,4.543659e-10,"sin((cos(cos(cos((cos(javautilTreeSet) + 0.8397316) + (input0 * 0.010835146)))) + (input0 * 0.0016519182)) * 5.9234942e-5)"
19,4.5335596e-10,"(cos(cos(cos(cos(javautilTreeSet + javautilconcurrentCopyOnWriteArraySetaddjavalangObject) + ((input0 * 0.010835146) + 0.9441973)))) + (input0 * 0.0016519176)) * 5.9265156e-5"
20,4.517409e-10,"5.9265156e-5 * (cos(cos(cos(cos(javautilTreeSet + sin(javautilconcurrentCopyOnWriteArraySet)) + ((input0 * 0.010835146) + 0.9441973)))) + (input0 * 0.0016519176))"
28,4.5131063e-10,"cos(cos(cos((cos((javautilTreeSetaddjavalangObject + 0.48581442) + (exp(MethodInvocationsDepth0) * sin(sin(input0 * 0.005589009)))) + (javautilTreeSet * javalangShort)) + javautilTreeSetaddjavalangObject))) * ((input0 * 1.4498558e-7) + 4.8994818e-5)"
29,4.5041224e-10,"sin((input0 * 1.6564493e-7) + 4.8590995e-5) * cos(cos(cos((sin(javalangShort) + cos((sin(input0 * 0.0055890097) + sin(cos(javautilconcurrentCopyOnWriteArraySetaddjavalangObject))) + sin(javalangShort + javautilTreeSetaddjavalangObject))) + javautilTreeSetaddjavalangObject)))"
