Complexity,Loss,Equation
1,6.671289e-10,"4.115204e-5"
5,6.256993e-10,"(input0 * 2.1827109e-8) + 3.1707747e-5"
7,6.2562794e-10,"((javautilconcurrentCopyOnWriteArrayListsubListintint + input0) * 2.1804277e-8) + 3.1720887e-5"
8,5.961875e-10,"(cos(input2 * -0.3634123) * -1.2031372e-5) + 4.0943953e-5"
9,5.9618743e-10,"sin(cos(input2 * -0.3634123) * -1.2033168e-5) + 4.0944375e-5"
10,5.6719485e-10,"(sin((input2 * javautilArrayList) + 0.5219484) * -2.451014e-5) + 4.98743e-5"
12,5.622839e-10,"((javautilArrayListsubListintint * -2.9137664e-5) * (cos(input2 + -0.80095625) + -0.18056168)) + 4.0686988e-5"
13,5.492252e-10,"(exp(javautilArrayListsubListintint) * (sin(input2 + (javautilconcurrentCopyOnWriteArrayListsubListintint + 0.7587983)) * -9.864651e-6)) + 4.1518895e-5"
15,5.3173627e-10,"(((javautilVectorsubListintint + cos(input2 + (javautilconcurrentCopyOnWriteArrayListsubListintint + -0.8457491))) * exp(javautilArrayListsubListintint)) * -1.0046075e-5) + 4.3936223e-5"
17,5.2877774e-10,"((exp(javautilArrayListsubListintint) * -1.0106064e-5) * (javautilVectorsubListintint + cos((javautilconcurrentCopyOnWriteArrayListsubListintint * 1.3566061) + (input2 + -0.88743275)))) + 4.3763528e-5"
19,5.135987e-10,"(((javautilVectorsubListintint + (sin(javautilconcurrentCopyOnWriteArrayListsubListintint + (input2 + 0.71399796)) + (input0 * -0.0006747596))) * exp(javautilArrayListsubListintint)) * -8.90036e-6) + 3.9103197e-5"
20,5.129226e-10,"4.5100707e-5 + (exp(javautilArrayListsubListintint) * ((cos(((input2 + sin(input2 + input2)) + -0.5199135) + javautilconcurrentCopyOnWriteArrayListsubListintint) + javautilVectorsubListintint) * -1.2586188e-5))"
21,4.883567e-10,"((cos(input2 + ((javautilconcurrentCopyOnWriteArrayList + -0.46715102) + sin(sin((input2 + -0.44525543) + input2)))) * exp(javautilArrayListsubListintint)) * -1.7050746e-5) + 4.1315277e-5"
22,4.8686444e-10,"((exp(javautilArrayListsubListintint) * cos(sin((javautilconcurrentCopyOnWriteArrayListsubListintint + sin(sin((input2 + -0.5780456) + input2))) + -0.5946793) + input2)) * -1.7506403e-5) + 4.1268027e-5"
23,4.830874e-10,"(((cos(input2 + sin((sin((input2 + input2) + -0.4611466) + -0.6208059) + javautilconcurrentCopyOnWriteArrayListsubListintint)) + javautilVectorsubListintint) * exp(javautilArrayListsubListintint)) * -1.586779e-5) + 4.5179833e-5"
24,4.782206e-10,"((cos(sin(javautilconcurrentCopyOnWriteArrayListsubListintint + (sin(input2 + (input2 + -0.6167557)) + -0.6952287)) + input2) + sin(javautilVectorsubListintint)) * (exp(javautilArrayListsubListintint) * -1.6372855e-5)) + 4.456614e-5"
25,4.731701e-10,"((exp(javautilArrayListsubListintint) * ((javautilVectorsubListintint * 0.5736505) + cos(sin((javautilconcurrentCopyOnWriteArrayListsubListintint + sin(input2 + (input2 + -0.50877607))) + -0.6346471) + input2))) * -1.7674067e-5) + 4.3801698e-5"
26,4.705648e-10,"((exp(javautilArrayListsubListintint) * -1.7674067e-5) * ((javautilVectorsubListintint * 0.5736505) + cos(sin(javautilconcurrentCopyOnWriteArrayListsubListintint + (sin(sin(input2 + (input2 + -0.5083586))) + -0.6346471)) + input2))) + 4.3801698e-5"
30,4.7007176e-10,"(((sin(-0.09405776) + exp(javautilArrayListsubListintint)) * -1.7674067e-5) * ((javautilVectorsubListintint * 0.5736505) + cos(sin(javautilconcurrentCopyOnWriteArrayListsubListintint + (sin(sin((input2 + input2) + -0.5083586)) + -0.6346471)) + input2))) + sin(4.3801698e-5)"
