java.lang.Float,java.util.concurrent.CopyOnWriteArrayList<java.lang.Float>,java.util.ArrayList.set(int | java.lang.Object),ReassignmentsDepth_1,ReassignmentsDepth_2,java.util.Vector<java.lang.Integer>,ReassignmentsDepth_0,java.lang.Integer,java.util.LinkedList<java.lang.Character>,BinaryOperatorsDepth_1,BinaryOperatorsDepth_0,java.lang.Character,java.lang.Long,java.util.Stack<java.lang.Integer>,java.util.concurrent.CopyOnWriteArrayList<java.lang.Long>,java.util.Stack.get(int),LTDepth_1,LTDepth_0,java.util.LinkedList.get(int),BinaryOperatorsDepth_2,CyclomaticComplexity,java.util.Vector.set(int | java.lang.Object),java.util.Vector<java.lang.Float>,java.util.concurrent.CopyOnWriteArrayList<java.lang.Integer>,java.util.Stack.set(int | java.lang.Object),LiteralCountDepth_2,LiteralCountDepth_1,LiteralCountDepth_0,java.util.LinkedList<java.lang.Double>,ReturnType_void,ImportsUsed,java.util.concurrent.CopyOnWriteArrayList.get(int),java.util.LinkedList.set(int | java.lang.Object),java.util.LinkedList<java.lang.Float>,java.util.ArrayList.size(),java.util.Vector<java.lang.Long>,java.util.Stack<java.lang.Character>,GTDepth_2,java.util.ArrayList<java.lang.Character>,GTDepth_1,java.util.LinkedList.size(),GTDepth_0,VariableDeclarationsDepth_0,java.util.ArrayList.get(int),VariableCountDepth_0,NOTDepth_1,MethodInvocationsDepth_2,NOTDepth_0,VariableCountDepth_1,VariableDeclarationsDepth_2,VariableDeclarationsDepth_1,VariableCountDepth_2,java.util.concurrent.CopyOnWriteArrayList.size(),java.util.ArrayList<java.lang.Float>,java.lang.Double,MethodInvocationsDepth_1,MethodInvocationsDepth_0,java.util.LinkedList<java.lang.Integer>,POSTINCDepth_0,POSTINCDepth_1,java.util.ArrayList<java.lang.Double>,java.util.Stack<java.lang.Double>,java.util.Stack<java.lang.Long>,java.util.Vector<java.lang.Character>,BranchCount,java.util.concurrent.CopyOnWriteArrayList<java.lang.Character>,java.util.concurrent.CopyOnWriteArrayList.set(int | java.lang.Object),PLUSDepth_1,PLUSDepth_0,PLUSDepth_2,LoopCount,ThreadUsage,java.util.ArrayList<java.lang.Integer>,java.util.Stack<java.lang.Float>,MINUSDepth_0,java.util.Vector.size(),MINUSDepth_1,int,AssignmentsDepth_2,java.util.Stack.size(),AssignmentsDepth_1,AssignmentsDepth_0,boolean,java.util.concurrent.CopyOnWriteArrayList<java.lang.Double>,java.util.LinkedList<java.lang.Long>,java.util.ArrayList<java.lang.Long>,java.util.Vector<java.lang.Double>,java.util.Vector.get(int),Input1,Input2,EnergyUsed,Filename
0,0,0,1,1,0,0,1,0,3,2,0,0,0,0,0,1,1,4,4,5,0,0,0,0,4,3,2,0,1,1,0,2,0,0,0,0,1,0,0,1,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,139,646,0.010089912978481096,BubbleSortLinkedList169
0,0,0,1,1,1,0,1,0,3,2,0,0,0,0,0,1,1,0,4,5,2,0,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,24,7595,1.6037193992380644E-5,BubbleSortVector32
1,0,0,1,1,0,0,0,0,3,2,0,0,0,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,1,1,0,2,3,1,1,1,0,1,0,0,0,0,0,19,386,0.0,BubbleSortStack574
0,0,2,1,1,0,0,0,0,3,2,0,0,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,81987,646,545.4251848552032,BubbleSortArrayList297
0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,1,1,0,1,0,0,0,0,0,417,7132,0.02269315195274558,BubbleSortStack311
0,0,2,1,1,0,0,1,0,3,2,0,0,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,1,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,15776,30,9.430449142857295,BubbleSortArrayList107
0,0,2,1,1,0,0,0,0,3,2,0,1,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,1,0,0,2743,29876,0.5689850045456049,BubbleSortArrayList891
0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,1,1,0,1,0,0,0,0,0,2743,30,0.8601900187754914,BubbleSortStack205
0,0,2,1,1,0,0,0,0,3,2,0,1,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,1,0,0,1988,30,0.3113069333334958,BubbleSortArrayList982
0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,1,1,0,4,5,2,0,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,19,30,0.0,BubbleSortVector670
0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1,1,4,4,5,0,0,0,0,4,3,2,1,1,1,0,2,0,0,0,0,1,0,0,1,0,3,0,3,1,6,1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,1988,386,36.161258760191586,BubbleSortLinkedList215
0,0,2,1,1,0,0,0,0,3,2,0,0,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,188197,8,0.004733405329887639,BubbleSortArrayList281
0,0,0,1,1,1,0,1,0,3,2,0,0,0,0,0,1,1,0,4,5,2,0,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,24,30,0.0,BubbleSortVector172
1,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,1,1,0,4,5,2,1,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,26972,8,102.20127014530291,BubbleSortVector566
0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,1,1,0,4,5,2,0,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,24,8160,1.4687653186280881E-5,BubbleSortVector604
0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,1,1,0,1,0,0,0,0,0,139,8160,0.002179112395117432,BubbleSortStack611
1,0,0,1,1,0,0,0,0,3,2,0,0,0,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,1,1,0,2,3,1,1,1,0,1,0,0,0,0,0,12012,30,17.62835237221335,BubbleSortStack546
0,0,0,1,1,0,0,0,1,3,2,1,0,0,0,0,1,1,4,4,5,0,0,0,0,4,3,2,0,1,1,0,2,0,0,0,0,1,0,0,1,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,0,0,0,1988,8,38.009233834037275,BubbleSortLinkedList673
0,0,2,1,1,0,0,0,0,3,2,0,1,0,0,0,1,1,0,4,5,0,0,0,0,4,3,2,0,1,1,0,0,0,1,0,0,1,0,0,0,0,3,4,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,0,1,0,1,0,0,1,0,0,33047,646,116.13557100909549,BubbleSortArrayList954
0,0,0,1,1,0,0,1,0,3,2,0,0,1,0,4,1,1,0,4,5,0,0,0,2,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,0,2,3,1,1,1,0,1,0,0,0,0,0,4798,948,2.627356988642465,BubbleSortStack126
0,0,0,1,1,0,0,0,0,3,2,1,0,0,0,0,1,1,0,4,5,2,0,0,0,4,3,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,3,1,6,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,0,3,2,0,0,0,1,1,2,3,1,0,1,0,1,0,0,0,0,4,417,386,0.021391525042335185,BubbleSortVector700
