VariableCountDepth_0,java.util.ArrayList.addAll(java.util.Collection),MethodInvocationsDepth_0,input2,java.util.Collection<?>,input1,input0,ReassignmentsDepth_0,java.util.ArrayList,BinaryOperatorsDepth_0,BranchCount,java.util.Vector,java.util.concurrent.CopyOnWriteArrayList.addAll(java.util.Collection),java.util.LinkedList,java.util.ArrayList.addAll(int | java.util.Collection),LoopCount,ThreadUsage,CyclomaticComplexity,java.util.concurrent.CopyOnWriteArrayList.addAll(int | java.util.Collection),LiteralCountDepth_0,java.util.LinkedList.addAll(java.util.Collection),int,ReturnType_void,ImportsUsed,AssignmentsDepth_0,java.util.LinkedList.addAll(int | java.util.Collection),VariableDeclarationsDepth_0,java.util.Vector.addAll(java.util.Collection),java.util.Vector.addAll(int | java.util.Collection),java.util.concurrent.CopyOnWriteArrayList,EnergyUsed,Filename
0,0,1,67,1,1,65,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,4.139678999999887E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_438
0,0,1,0,1,68.48145,65.27256,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,4.14813100000174E-5,CopyOnWriteArrayList_addAll_java_util_Collection_646
0,0,1,46.133762,1,1,42.33203,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2.860071333333811E-5,ArrayList_addAll_int_java_util_Collection_1863
0,0,1,0,1,342,206,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,3.268011187940877E-4,LinkedList_addAll_java_util_Collection_947
0,0,1,336,1,1,144,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,3.4830700269017893E-4,LinkedList_addAll_int_java_util_Collection_236
0,0,1,216,1,1,374,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2.75778209107138E-4,LinkedList_addAll_int_java_util_Collection_22
0,0,1,0,1,317,244,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1.463797009544186E-4,Vector_addAll_java_util_Collection_1334
0,0,1,32,1,1,126,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,2.379898133333579E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_383
0,0,1,0,1,103.7103,84.771866,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,5.448793333334229E-5,Vector_addAll_java_util_Collection_1354
0,0,1,110.60723,1,1,94.025635,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2.2409242666675706E-5,ArrayList_addAll_int_java_util_Collection_1858
0,1,1,0,1,100,595,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,4.6024390000020504E-5,ArrayList_addAll_java_util_Collection_1555
0,0,1,0,1,216,270,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1.149388824665619E-4,Vector_addAll_java_util_Collection_1339
0,0,1,19.861300685412502,1,1,270.2052829753756,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,4.5287580000003797E-5,Vector_addAll_int_java_util_Collection_1034
0,0,1,272,1,1,299,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2.8189505806182233E-4,LinkedList_addAll_int_java_util_Collection_238
0,1,1,0,1,27,554,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.5396878000014112E-5,ArrayList_addAll_java_util_Collection_1671
0,0,1,0,1,97.80852,163.24959,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1.3190721744706695E-4,LinkedList_addAll_java_util_Collection_894
0,0,1,0,1,508,239,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1.458530559743585E-4,Vector_addAll_java_util_Collection_1336
0,0,1,10,1,1,312,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,6.416170560254017E-5,LinkedList_addAll_int_java_util_Collection_131
0,0,1,103,1,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,2.7440600000002937E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_381
0,0,1,0,1,232,99,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,3.5087041666641496E-5,CopyOnWriteArrayList_addAll_java_util_Collection_505
0,0,1,487,1,1,67,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2.1262047055134304E-4,ArrayList_addAll_int_java_util_Collection_1786
0,0,1,0,1,25.544239,107.54729,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,6.166185333335307E-5,LinkedList_addAll_java_util_Collection_870
0,0,1,0,1,8.190889,143.56462,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2.874057999998816E-5,LinkedList_addAll_java_util_Collection_911
0,0,1,0,1,66.071106,107.113434,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,9.609635307692841E-5,LinkedList_addAll_java_util_Collection_910
0,0,1,241.39906903114968,1,1,228.31442072985033,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2.282177866496604E-4,LinkedList_addAll_int_java_util_Collection_78
0,0,1,0,1,139.05351,107.31416,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2.2320229201364312E-4,LinkedList_addAll_java_util_Collection_884
0,0,1,123,1,1,243,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1.0546470245161935E-4,ArrayList_addAll_int_java_util_Collection_1706
0,0,1,187.66489,1,1,105.885216,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,3.428960799999913E-5,Vector_addAll_int_java_util_Collection_1130
0,0,1,152,1,1,59,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,2.9809859999998778E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_273
0,0,1,0,1,264,311,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2.842543542327931E-4,LinkedList_addAll_java_util_Collection_936
0,0,1,0,1,428,505,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,6.73753845341072E-4,LinkedList_addAll_java_util_Collection_836
0,0,1,0,1,513,386,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.937706823822056E-4,LinkedList_addAll_java_util_Collection_747
0,0,1,0,1,29.218126,215.28831,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,7.250419555558537E-5,LinkedList_addAll_java_util_Collection_876
0,0,1,0,1,239,741,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.653207866571472E-4,LinkedList_addAll_java_util_Collection_833
0,0,1,0,1,546,600,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.622984241204975E-4,LinkedList_addAll_java_util_Collection_832
0,0,1,269.87903,1,1,124.84017,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,4.151595000002999E-5,ArrayList_addAll_int_java_util_Collection_1855
0,1,1,0,1,722,425,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.6893604328361796E-4,ArrayList_addAll_java_util_Collection_1547
0,0,1,23,1,1,230,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,6.305884518516164E-5,LinkedList_addAll_int_java_util_Collection_39
0,0,1,0,1,216.0973295590851,24.204871728901544,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,5.640405911118273E-5,CopyOnWriteArrayList_addAll_java_util_Collection_533
0,0,1,207,1,1,115,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,4.172026000000186E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_264
0,0,1,250,1,1,296,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,2.603396192660622E-4,LinkedList_addAll_int_java_util_Collection_231
0,0,1,0,1,262,453,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,3.4943554145626935E-4,LinkedList_addAll_java_util_Collection_847
0,0,1,0,1,35,206,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,4.6695739999995565E-5,CopyOnWriteArrayList_addAll_java_util_Collection_693
0,0,1,27.671525731840386,1,1,96.59896621493962,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,2.2009605333325456E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_332
0,0,1,0,1,25.00530938202408,60.66382430123122,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,4.651264000000083E-5,CopyOnWriteArrayList_addAll_java_util_Collection_559
0,0,1,0,1,208,286,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2.3388444633331597E-4,LinkedList_addAll_java_util_Collection_828
0,0,1,83.76497,1,1,25.861084,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1.1485319075758187E-4,LinkedList_addAll_int_java_util_Collection_190
0,0,1,480,1,1,101,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1.4680776029625184E-4,ArrayList_addAll_int_java_util_Collection_1717
0,1,1,0,1,207.23776515433187,199.8817161592337,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,5.155314999997245E-5,ArrayList_addAll_java_util_Collection_1515
0,1,1,0,1,183,93,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1.074040456906014E-4,ArrayList_addAll_java_util_Collection_1470
0,0,1,4.790435,1,1,17.929504,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,3.288129750001645E-5,Vector_addAll_int_java_util_Collection_1142
0,0,1,0,1,229,382,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,9.839954038841901E-5,Vector_addAll_java_util_Collection_1330
0,0,1,489,1,1,917,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,5.15921872929306E-4,LinkedList_addAll_int_java_util_Collection_12
0,1,1,0,1,408,362,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1.4082002954937965E-4,ArrayList_addAll_java_util_Collection_1579
0,0,1,329,1,1,333,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,1.9994034384123184E-4,Vector_addAll_int_java_util_Collection_1184
0,1,1,0,1,65.9227213829224,279.52728297462863,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,5.592281333335753E-5,ArrayList_addAll_java_util_Collection_1494
0,0,1,0,1,23.63962,93.05837,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,4.9199755555552355E-5,CopyOnWriteArrayList_addAll_java_util_Collection_665
0,1,1,0,1,815,298,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.2145638984545662E-4,ArrayList_addAll_java_util_Collection_1661
0,0,1,0,1,390,315,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.1516125358510776E-4,LinkedList_addAll_java_util_Collection_831
0,0,1,0,1,475,203,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,1.3312913983855106E-4,Vector_addAll_java_util_Collection_1439
0,0,1,281.68988,1,1,113.84147,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1.8821428488893357E-4,LinkedList_addAll_int_java_util_Collection_153
0,0,1,0,1,249,535,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,4.037172984183977E-4,LinkedList_addAll_java_util_Collection_826
0,0,1,0,1,199.75023,245.97054,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,0,8.856628000001365E-5,Vector_addAll_java_util_Collection_1361
0,0,1,0,1,188,617,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,2.4098842247472372E-4,LinkedList_addAll_java_util_Collection_735
0,0,1,76.15784211717093,1,1,213.39111856767357,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,5.514627999999598E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_288
0,0,1,705,1,1,407,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,2.0917672090228724E-4,Vector_addAll_int_java_util_Collection_1160
0,0,1,296,1,1,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,5.019025749106112E-5,Vector_addAll_int_java_util_Collection_1103
0,1,1,0,1,1109,281,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.7338711117544135E-4,ArrayList_addAll_java_util_Collection_1449
0,1,1,0,1,124.5159399527138,34.59204639168767,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,3.2917912499997326E-5,ArrayList_addAll_java_util_Collection_1514
0,0,1,80.426285,1,1,30.511936,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,2.4233108571456147E-5,ArrayList_addAll_int_java_util_Collection_1869
0,0,1,205.78973,1,1,145.27791,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,9.7014479999998E-5,LinkedList_addAll_int_java_util_Collection_167
0,0,1,178.0131,1,1,88.32859,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,1.6711235794120299E-4,LinkedList_addAll_int_java_util_Collection_171
0,0,1,0,1,82,122,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,3.519776800001273E-5,CopyOnWriteArrayList_addAll_java_util_Collection_598
0,0,1,503,1,1,735,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,1.7547149834686084E-4,ArrayList_addAll_int_java_util_Collection_1700
0,1,1,0,1,17.183698041688647,7.572317613811283,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.4568763333336392E-5,ArrayList_addAll_java_util_Collection_1531
0,0,1,43,1,1,163,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,1,3.075760499999888E-5,CopyOnWriteArrayList_addAll_int_java_util_Collection_268
0,0,1,117.9791,1,1,14.614797,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,4.205150999998295E-5,ArrayList_addAll_int_java_util_Collection_1849
0,0,1,0,1,184,50,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1.946947583011554E-4,LinkedList_addAll_java_util_Collection_958
0,0,1,125.830765,1,1,193.68532,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,9.353934575759702E-5,LinkedList_addAll_int_java_util_Collection_166
0,1,1,0,1,619,254,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,2.447124335328264E-4,ArrayList_addAll_java_util_Collection_1557
0,0,1,137,1,1,481,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,5.357239555549718E-5,Vector_addAll_int_java_util_Collection_1164
0,0,1,293.6694712615919,1,1,288.96614552690653,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,1,0,0,0,0,3.6555161080433505E-4,LinkedList_addAll_int_java_util_Collection_56
